Crime Category,Crime ID,Month,Latitude,Location,Longitude,Outcome,Outcome Date
Anti social behaviour,104778040,2022-09,51.486807,On or near St George's Square Mews,-0.133480,,
Anti social behaviour,104573068,2022-09,51.500978,On or near Bridge Street,-0.125524,,
Anti social behaviour,104778024,2022-09,51.487500,On or near Aylesford Street,-0.133538,,
Anti social behaviour,104777985,2022-09,51.489261,On or near Pimlico,-0.133408,,
Anti social behaviour,104776478,2022-09,51.491625,On or near Denbigh Mews,-0.140125,,
Anti social behaviour,104776474,2022-09,51.491625,On or near Denbigh Mews,-0.140125,,
Anti social behaviour,104776449,2022-09,51.489103,On or near Gloucester Street,-0.141582,,
Anti social behaviour,104775886,2022-09,51.504717,On or near Down Street Mews,-0.148022,,
Anti social behaviour,104775869,2022-09,51.514564,On or near Stratford Place,-0.149193,,
Anti social behaviour,104775868,2022-09,51.494554,On or near Ebury Mews,-0.149658,,
Anti social behaviour,104775858,2022-09,51.504176,On or near Hamilton Mews,-0.149643,,
Anti social behaviour,104775252,2022-09,51.506985,On or near Northumberland Avenue,-0.124975,,
Anti social behaviour,104775238,2022-09,51.503196,On or near Downing Street,-0.127032,,
Anti social behaviour,104775237,2022-09,51.488845,On or near Bessborough Gardens,-0.129867,,
Anti social behaviour,104775220,2022-09,51.507394,On or near Charing Cross,-0.128042,,
Anti social behaviour,104775182,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775251,2022-09,51.506985,On or near Northumberland Avenue,-0.124975,,
Anti social behaviour,104775180,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775178,2022-09,51.511783,On or near ,-0.129778,,
Anti social behaviour,104775841,2022-09,51.514052,On or near ,-0.154345,,
Anti social behaviour,104775842,2022-09,51.514052,On or near ,-0.154345,,
Anti social behaviour,104775847,2022-09,51.508814,On or near ,-0.154110,,
Anti social behaviour,104775845,2022-09,51.514052,On or near ,-0.154345,,
Anti social behaviour,104775854,2022-09,51.494595,On or near Boscobel Place,-0.151659,,
Anti social behaviour,104775859,2022-09,51.500043,On or near Montrose Place,-0.151568,,
Anti social behaviour,104775862,2022-09,51.514564,On or near Stratford Place,-0.149193,,
Anti social behaviour,104775863,2022-09,51.514564,On or near Stratford Place,-0.149193,,
Anti social behaviour,104775865,2022-09,51.494554,On or near Ebury Mews,-0.149658,,
Anti social behaviour,104775867,2022-09,51.494554,On or near Ebury Mews,-0.149658,,
Anti social behaviour,104775873,2022-09,51.493305,On or near Ebury Street,-0.150314,,
Anti social behaviour,104775875,2022-09,51.493305,On or near Ebury Street,-0.150314,,
Anti social behaviour,104775876,2022-09,51.493305,On or near Ebury Street,-0.150314,,
Anti social behaviour,104775877,2022-09,51.499871,On or near Chester Close,-0.149817,,
Anti social behaviour,104775880,2022-09,51.492545,On or near ,-0.149087,,
Anti social behaviour,104775881,2022-09,51.492545,On or near ,-0.149087,,
Anti social behaviour,104775882,2022-09,51.492545,On or near ,-0.149087,,
Anti social behaviour,104775885,2022-09,51.509496,On or near Farm Street,-0.148318,,
Anti social behaviour,104775889,2022-09,51.514709,On or near Bond Street,-0.148712,,
Anti social behaviour,104775890,2022-09,51.514709,On or near Bond Street,-0.148712,,
Anti social behaviour,104775891,2022-09,51.514709,On or near Bond Street,-0.148712,,
Anti social behaviour,104775892,2022-09,51.514709,On or near Bond Street,-0.148712,,
Anti social behaviour,104775895,2022-09,51.505618,On or near Hertford Street,-0.148735,,
Anti social behaviour,104776364,2022-09,51.494368,On or near Eccleston Place,-0.147534,,
Anti social behaviour,104776366,2022-09,51.489295,On or near ,-0.147451,,
Anti social behaviour,104776370,2022-09,51.497960,On or near Grosvenor Gardens Mews East,-0.146091,,
Anti social behaviour,104776375,2022-09,51.511012,On or near Bourdon Street,-0.145792,,
Anti social behaviour,104776378,2022-09,51.490158,On or near ,-0.146307,,
Anti social behaviour,104776381,2022-09,51.513057,On or near ,-0.144844,,
Anti social behaviour,104776383,2022-09,51.510641,On or near Bruton Street,-0.144467,,
Anti social behaviour,104776384,2022-09,51.487291,On or near Turpentine Lane,-0.145890,,
Anti social behaviour,104776387,2022-09,51.515753,On or near John Prince's Street,-0.143092,,
Anti social behaviour,104776389,2022-09,51.510641,On or near Bruton Street,-0.144467,,
Anti social behaviour,104776400,2022-09,51.511893,On or near New Bond Street,-0.144070,,
Anti social behaviour,104776391,2022-09,51.496234,On or near Terminus Place,-0.144433,,
Anti social behaviour,104776398,2022-09,51.510641,On or near Bruton Street,-0.144467,,
Anti social behaviour,104776399,2022-09,51.510641,On or near Bruton Street,-0.144467,,
Anti social behaviour,104776401,2022-09,51.511893,On or near New Bond Street,-0.144070,,
Anti social behaviour,104776406,2022-09,51.496234,On or near Terminus Place,-0.144433,,
Anti social behaviour,104776407,2022-09,51.487819,On or near Westmoreland Place,-0.145120,,
Anti social behaviour,104776424,2022-09,51.495775,On or near ,-0.142679,,
Anti social behaviour,104776411,2022-09,51.508450,On or near ,-0.143266,,
Anti social behaviour,104776412,2022-09,51.516875,On or near ,-0.141807,,
Anti social behaviour,104776413,2022-09,51.494016,On or near Bridge Place,-0.143514,,
Anti social behaviour,104776415,2022-09,51.508990,On or near Albemarle Street,-0.141882,,
Anti social behaviour,104776416,2022-09,51.486866,On or near Glasgow Terrace,-0.142868,,
Anti social behaviour,104776421,2022-09,51.513575,On or near Pollen Street,-0.142373,,
Anti social behaviour,104776422,2022-09,51.488507,On or near Sussex Street,-0.144285,,
Anti social behaviour,104776423,2022-09,51.515753,On or near John Prince's Street,-0.143092,,
Anti social behaviour,104776425,2022-09,51.495775,On or near ,-0.142679,,
Anti social behaviour,104776427,2022-09,51.495775,On or near ,-0.142679,,
Anti social behaviour,104776430,2022-09,51.514684,On or near Argyll Street,-0.140844,,
Anti social behaviour,104776434,2022-09,51.498315,On or near Warwick Row,-0.142994,,
Anti social behaviour,104776437,2022-09,51.491665,On or near Warwick Place North,-0.142659,,
Anti social behaviour,104776439,2022-09,51.495775,On or near ,-0.142679,,
Anti social behaviour,104776442,2022-09,51.486866,On or near Glasgow Terrace,-0.142868,,
Anti social behaviour,104776443,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776444,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776445,2022-09,51.495936,On or near Carlisle Place,-0.141491,,
Anti social behaviour,104776447,2022-09,51.495936,On or near Carlisle Place,-0.141491,,
Anti social behaviour,104776448,2022-09,51.489103,On or near Gloucester Street,-0.141582,,
Anti social behaviour,104776453,2022-09,51.485949,On or near Churchill Gardens Road,-0.141768,,
Anti social behaviour,104776454,2022-09,51.486866,On or near Glasgow Terrace,-0.142868,,
Anti social behaviour,104776459,2022-09,51.489103,On or near Gloucester Street,-0.141582,,
Anti social behaviour,104776461,2022-09,51.515088,On or near Hills Place,-0.140222,,
Anti social behaviour,104776462,2022-09,51.515088,On or near Hills Place,-0.140222,,
Anti social behaviour,104776463,2022-09,51.515088,On or near Hills Place,-0.140222,,
Anti social behaviour,104776464,2022-09,51.515088,On or near Hills Place,-0.140222,,
Anti social behaviour,104776466,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776467,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776469,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776471,2022-09,51.493260,On or near ,-0.141744,,
Anti social behaviour,104776475,2022-09,51.491625,On or near Denbigh Mews,-0.140125,,
Anti social behaviour,104776476,2022-09,51.491625,On or near Denbigh Mews,-0.140125,,
Anti social behaviour,104776477,2022-09,51.491625,On or near Denbigh Mews,-0.140125,,
Anti social behaviour,104776481,2022-09,51.492618,On or near Longmoore Street,-0.140402,,
Anti social behaviour,104776482,2022-09,51.492618,On or near Longmoore Street,-0.140402,,
Anti social behaviour,104776483,2022-09,51.496508,On or near Ambrosden Avenue,-0.139610,,
Anti social behaviour,104776486,2022-09,51.507911,On or near ,-0.139635,,
Anti social behaviour,104776487,2022-09,51.507911,On or near ,-0.139635,,
Anti social behaviour,104776490,2022-09,51.514247,On or near Great Marlborough Street,-0.139406,,
Anti social behaviour,104776491,2022-09,51.493894,On or near Gillingham Row,-0.140912,,
Anti social behaviour,104776492,2022-09,51.498175,On or near Palace Street,-0.140363,,
Anti social behaviour,104776496,2022-09,51.514867,On or near ,-0.138790,,
Anti social behaviour,104776500,2022-09,51.492618,On or near Longmoore Street,-0.140402,,
Anti social behaviour,104776503,2022-09,51.514867,On or near ,-0.138790,,
Anti social behaviour,104776504,2022-09,51.490298,On or near Denbigh Street,-0.139243,,
Anti social behaviour,104776505,2022-09,51.490298,On or near Denbigh Street,-0.139243,,
Anti social behaviour,104776507,2022-09,51.496320,On or near Thirleby Road,-0.138508,,
Anti social behaviour,104776509,2022-09,51.507446,On or near Masons Yard,-0.137521,,
Anti social behaviour,104776510,2022-09,51.486309,On or near ,-0.137230,,
Anti social behaviour,104776511,2022-09,51.486309,On or near ,-0.137230,,
Anti social behaviour,104776512,2022-09,51.486309,On or near ,-0.137230,,
Anti social behaviour,104776522,2022-09,51.515684,On or near ,-0.135874,,
Anti social behaviour,104776525,2022-09,51.492043,On or near A202,-0.136464,,
Anti social behaviour,104776529,2022-09,51.492043,On or near A202,-0.136464,,
Anti social behaviour,104776530,2022-09,51.492043,On or near A202,-0.136464,,
Anti social behaviour,104777943,2022-09,51.514799,On or near Sheraton Street,-0.135045,,
Anti social behaviour,104777944,2022-09,51.513090,On or near Hopkins Street,-0.135043,,
Anti social behaviour,104777945,2022-09,51.513090,On or near Hopkins Street,-0.135043,,
Anti social behaviour,104777953,2022-09,51.489721,On or near Moreton Street,-0.135781,,
Anti social behaviour,104777954,2022-09,51.491881,On or near Stanford Street,-0.135332,,
Anti social behaviour,104777960,2022-09,51.496440,On or near Spencer Place,-0.135867,,
Anti social behaviour,104777972,2022-09,51.495286,On or near Greycoat Street,-0.134574,,
Anti social behaviour,104777983,2022-09,51.489261,On or near Pimlico,-0.133408,,
Anti social behaviour,104777984,2022-09,51.489261,On or near Pimlico,-0.133408,,
Anti social behaviour,104777989,2022-09,51.498553,On or near Caxton Street,-0.135291,,
Anti social behaviour,104777996,2022-09,51.498553,On or near Caxton Street,-0.135291,,
Anti social behaviour,104777999,2022-09,51.507970,On or near Charles Ii Street,-0.133162,,
Anti social behaviour,104778000,2022-09,51.490647,On or near Thorndike Street,-0.134619,,
Anti social behaviour,104778001,2022-09,51.490647,On or near Thorndike Street,-0.134619,,
Anti social behaviour,104778004,2022-09,51.514286,On or near Chapone Place,-0.132818,,
Anti social behaviour,104778010,2022-09,51.489842,On or near Rampayne Street,-0.133183,,
Anti social behaviour,104778012,2022-09,51.515939,On or near Soho Street,-0.132693,,
Anti social behaviour,104778013,2022-09,51.515939,On or near Soho Street,-0.132693,,
Anti social behaviour,104778014,2022-09,51.515939,On or near Soho Street,-0.132693,,
Anti social behaviour,104778017,2022-09,51.511583,On or near ,-0.133287,,
Anti social behaviour,104778028,2022-09,51.496313,On or near Chadwick Street,-0.132429,,
Anti social behaviour,104778029,2022-09,51.496313,On or near Chadwick Street,-0.132429,,
Anti social behaviour,104778034,2022-09,51.514286,On or near Chapone Place,-0.132818,,
Anti social behaviour,104778035,2022-09,51.510295,On or near Coventry Street,-0.132318,,
Anti social behaviour,104778036,2022-09,51.510295,On or near Coventry Street,-0.132318,,
Anti social behaviour,104778045,2022-09,51.509458,On or near ,-0.132280,,
Anti social behaviour,104778046,2022-09,51.507970,On or near Charles Ii Street,-0.133162,,
Anti social behaviour,104778053,2022-09,51.492462,On or near Regency Street,-0.132283,,
Anti social behaviour,104778054,2022-09,51.492462,On or near Regency Street,-0.132283,,
Anti social behaviour,104778055,2022-09,51.492462,On or near Regency Street,-0.132283,,
Anti social behaviour,104778056,2022-09,51.492462,On or near Regency Street,-0.132283,,
Anti social behaviour,104778057,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104778058,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104778059,2022-09,51.494214,On or near Rutherford Street,-0.132716,,
Anti social behaviour,104779610,2022-09,51.529503,On or near Sixth Avenue,-0.213133,,
Anti social behaviour,104779619,2022-09,51.529942,On or near Parry Road,-0.207161,,
Anti social behaviour,104779620,2022-09,51.529942,On or near Parry Road,-0.207161,,
Anti social behaviour,104779626,2022-09,51.530750,On or near Dart Street,-0.205875,,
Anti social behaviour,104779631,2022-09,51.523707,On or near Hormead Road,-0.203385,,
Anti social behaviour,104779632,2022-09,51.523707,On or near Hormead Road,-0.203385,,
Anti social behaviour,104779633,2022-09,51.524346,On or near Fermoy Road,-0.203431,,
Anti social behaviour,104779637,2022-09,51.531106,On or near Marban Road,-0.203309,,
Anti social behaviour,104779642,2022-09,51.524916,On or near ,-0.202501,,
Anti social behaviour,104779643,2022-09,51.530798,On or near Bradiston Road,-0.201375,,
Anti social behaviour,104779644,2022-09,51.530798,On or near Bradiston Road,-0.201375,,
Anti social behaviour,104779646,2022-09,51.530798,On or near Bradiston Road,-0.201375,,
Anti social behaviour,104779647,2022-09,51.530798,On or near Bradiston Road,-0.201375,,
Anti social behaviour,104779658,2022-09,51.530798,On or near Bradiston Road,-0.201375,,
Anti social behaviour,104779659,2022-09,51.529642,On or near Croxley Road,-0.200484,,
Anti social behaviour,104779664,2022-09,51.527235,On or near Lydford Road,-0.199483,,
Anti social behaviour,104779665,2022-09,51.524501,On or near Chantry Close,-0.200095,,
Anti social behaviour,104779670,2022-09,51.524501,On or near Chantry Close,-0.200095,,
Anti social behaviour,104779671,2022-09,51.524501,On or near Chantry Close,-0.200095,,
Anti social behaviour,104779672,2022-09,51.522891,On or near Woodfield Road,-0.200015,,
Anti social behaviour,104779677,2022-09,51.522468,On or near Elmfield Way,-0.197105,,
Anti social behaviour,104779687,2022-09,51.522468,On or near Elmfield Way,-0.197105,,
Anti social behaviour,104779689,2022-09,51.524322,On or near Goldney Road,-0.195994,,
Anti social behaviour,104779690,2022-09,51.524322,On or near Goldney Road,-0.195994,,
Anti social behaviour,104779691,2022-09,51.524322,On or near Goldney Road,-0.195994,,
Anti social behaviour,104779693,2022-09,51.524322,On or near Goldney Road,-0.195994,,
Anti social behaviour,104779695,2022-09,51.517467,On or near Chepstow Road,-0.195847,,
Anti social behaviour,104779696,2022-09,51.526890,On or near Shirland Road,-0.194624,,
Anti social behaviour,104779699,2022-09,51.522402,On or near Admiral Walk,-0.195710,,
Anti social behaviour,104779700,2022-09,51.516093,On or near Bridstow Place,-0.194806,,
Anti social behaviour,104779701,2022-09,51.516093,On or near Bridstow Place,-0.194806,,
Anti social behaviour,104779702,2022-09,51.516093,On or near Bridstow Place,-0.194806,,
Anti social behaviour,104779706,2022-09,51.526607,On or near Byron Mews,-0.194895,,
Anti social behaviour,104779707,2022-09,51.526607,On or near Byron Mews,-0.194895,,
Anti social behaviour,104779708,2022-09,51.516093,On or near Bridstow Place,-0.194806,,
Anti social behaviour,104779709,2022-09,51.516093,On or near Bridstow Place,-0.194806,,
Anti social behaviour,104779710,2022-09,51.521155,On or near Alfred Road,-0.194173,,
Anti social behaviour,104789215,2022-09,51.529784,On or near B450,-0.215674,,
Anti social behaviour,104779711,2022-09,51.521155,On or near Alfred Road,-0.194173,,
Anti social behaviour,104779712,2022-09,51.521155,On or near Alfred Road,-0.194173,,
Anti social behaviour,104780856,2022-09,51.517535,On or near Alexander Street,-0.192659,,
Anti social behaviour,104782790,2022-09,51.537511,On or near Rutland Mews,-0.184759,,
Anti social behaviour,104782696,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104780882,2022-09,51.516054,On or near Newton Road,-0.192256,,
Anti social behaviour,104780883,2022-09,51.520233,On or near ,-0.191529,,
Anti social behaviour,104782695,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104780884,2022-09,51.520233,On or near ,-0.191529,,
Anti social behaviour,104780888,2022-09,51.523641,On or near Downfield Close,-0.190932,,
Anti social behaviour,104780889,2022-09,51.523641,On or near Downfield Close,-0.190932,,
Anti social behaviour,104780916,2022-09,51.516012,On or near Hatherley Grove,-0.189548,,
Anti social behaviour,104780917,2022-09,51.516012,On or near Hatherley Grove,-0.189548,,
Anti social behaviour,104782694,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104780924,2022-09,51.517642,On or near Porchester Road,-0.188547,,
Anti social behaviour,104782692,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104782691,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104782690,2022-09,51.516623,On or near ,-0.132976,,
Anti social behaviour,104782688,2022-09,51.517996,On or near Newman Passage,-0.135361,,
Anti social behaviour,104782687,2022-09,51.517996,On or near Newman Passage,-0.135361,,
Anti social behaviour,104782686,2022-09,51.517596,On or near Newman Street,-0.135680,,
Anti social behaviour,104782684,2022-09,51.516880,On or near Berners Place,-0.135854,,
Anti social behaviour,104782683,2022-09,51.516880,On or near Berners Place,-0.135854,,
Anti social behaviour,104782682,2022-09,51.516880,On or near Berners Place,-0.135854,,
Anti social behaviour,104780939,2022-09,51.512469,On or near Inverness Mews,-0.187181,,
Anti social behaviour,104782680,2022-09,51.517596,On or near Newman Street,-0.135680,,
Anti social behaviour,104782676,2022-09,51.518130,On or near ,-0.137604,,
Anti social behaviour,104782675,2022-09,51.518130,On or near ,-0.137604,,
Anti social behaviour,104782674,2022-09,51.518130,On or near ,-0.137604,,
Anti social behaviour,104782673,2022-09,51.518130,On or near ,-0.137604,,
Anti social behaviour,104782671,2022-09,51.519883,On or near Riding House Street,-0.138138,,
Anti social behaviour,104782670,2022-09,51.516618,On or near ,-0.139226,,
Anti social behaviour,104782666,2022-09,51.520127,On or near Ogle Street,-0.139887,,
Anti social behaviour,104782664,2022-09,51.518845,On or near Bourlet Close,-0.139550,,
Anti social behaviour,104782661,2022-09,51.517954,On or near Little Titchfield Street,-0.141777,,
Anti social behaviour,104782660,2022-09,51.522215,On or near Carburton Street,-0.142252,,
