Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02000086,3,195,545,36.3%
England,E02000087,5,235,455,51.5%
England,E02000088,3,210,590,35.9%
England,E02000089,3,210,565,37.0%
England,E02000090,4,195,425,45.6%
England,E02000091,4,255,590,43.1%
England,E02000092,2,110,395,28.3%
England,E02000093,5,360,640,56.7%
England,E02000094,5,355,640,55.2%
England,E02000095,5,370,620,59.5%
England,E02000096,5,350,385,91.0%
England,E02000097,5,335,560,60.2%
England,E02000098,5,345,475,72.3%
England,E02000099,5,290,480,60.7%
England,E02000100,5,400,480,83.6%
England,E02000101,5,320,530,60.3%
England,E02000102,4,225,520,43.1%
England,E02000103,5,295,560,52.6%
England,E02000104,5,245,390,62.6%
England,E02000105,5,275,485,56.7%
England,E02000106,5,270,505,53.2%
England,E02000107,5,200,370,54.6%
England,E02000108,5,200,370,54.6%
England,E02000109,5,260,490,53.0%
England,E02000110,5,245,360,68.1%
England,E02000111,5,275,535,51.7%
England,E02000112,5,255,500,50.4%
England,E02000113,4,325,805,40.6%
England,E02000114,4,170,345,48.8%
England,E02000115,5,155,210,73.8%
England,E02000116,4,185,390,48.1%
England,E02000117,3,315,830,38.3%
England,E02000118,4,315,650,48.5%
England,E02000119,4,230,560,41.1%
England,E02000120,5,125,235,53.8%
England,E02000121,5,280,515,54.1%
England,E02000122,5,260,300,86.5%
England,E02000123,3,295,785,37.8%
England,E02000124,5,230,335,69.5%
England,E02000125,5,220,420,53.0%
England,E02000126,4,195,465,42.1%
England,E02000127,2,150,555,27.3%
England,E02000128,4,190,440,43.5%
England,E02000130,5,205,415,49.6%
England,E02000131,4,145,355,40.7%
England,E02000132,4,105,240,44.5%
England,E02000133,5,410,410,99.6%
England,E02000134,5,255,405,62.7%
England,E02000135,2,180,625,28.5%
England,E02000136,4,145,335,43.0%
England,E02000137,5,220,290,75.6%
England,E02000138,5,220,225,98.6%
England,E02000139,5,205,330,61.3%
England,E02000140,2,160,625,26.0%
England,E02000141,4,160,385,41.6%
England,E02000142,5,290,490,58.9%
England,E02000144,5,255,435,58.4%
England,E02000145,2,135,540,24.7%
England,E02000146,4,205,440,46.9%
England,E02000147,5,425,570,75.0%
England,E02000148,5,240,370,64.9%
England,E02000149,3,165,495,32.8%
England,E02000150,4,345,735,46.9%
England,E02000151,5,245,455,54.4%
England,E02000152,3,185,500,36.4%
England,E02000153,4,305,655,46.4%
England,E02000154,5,260,490,53.1%
England,E02000155,2,130,440,29.9%
England,E02000156,5,500,935,53.5%
England,E02000157,5,310,595,52.0%
England,E02000158,4,190,485,39.4%
England,E02000159,5,265,460,57.7%
England,E02000160,5,290,585,49.6%
England,E02000161,4,270,585,46.2%
England,E02000162,3,165,440,37.9%
England,E02000163,5,240,475,50.6%
England,E02000165,2,140,490,28.2%
England,E02000166,5,255,325,78.8%
England,E02000167,5,195,80,100.0%
England,E02000168,5,225,325,69.1%
England,E02000169,5,200,100,100.0%
England,E02000170,5,180,175,100.0%
England,E02000171,5,175,285,61.9%
England,E02000172,3,200,575,34.7%
England,E02000173,5,120,85,100.0%
England,E02000174,5,195,395,49.9%
England,E02000175,5,145,210,68.5%
England,E02000176,5,90,50,100.0%
England,E02000177,3,165,430,38.2%
England,E02000178,5,165,325,50.9%
England,E02000179,5,165,190,86.5%
England,E02000180,4,155,335,46.7%
England,E02000181,5,135,135,98.6%
England,E02000182,5,145,175,83.5%
England,E02000183,5,185,230,80.8%
England,E02000184,4,170,395,43.2%
England,E02000185,5,190,305,61.2%
England,E02000186,5,120,185,64.4%
England,E02000187,4,200,490,40.5%
England,E02000188,4,160,395,40.2%
England,E02000189,4,115,260,44.2%
England,E02000190,4,90,200,45.8%
England,E02000191,5,65,100,64.6%
England,E02000192,4,120,265,45.2%
England,E02000193,5,95,150,64.2%
England,E02000194,5,185,345,54.5%
England,E02000195,5,375,545,68.6%
England,E02000196,5,325,575,56.6%
England,E02000197,5,305,555,54.7%
England,E02000198,3,200,550,36.3%
England,E02000199,4,305,635,47.6%
England,E02000200,4,220,465,47.0%
England,E02000201,4,210,465,45.3%
England,E02000202,5,325,655,50.0%
England,E02000203,4,185,440,42.3%
England,E02000204,5,370,690,54.0%
England,E02000206,3,200,540,37.1%
England,E02000207,3,285,745,38.0%
England,E02000208,4,245,540,45.1%
England,E02000209,4,285,595,47.8%
England,E02000210,3,200,540,37.1%
England,E02000211,4,260,565,45.7%
England,E02000212,3,205,570,36.2%
England,E02000213,4,205,470,43.8%
England,E02000214,5,230,455,50.6%
England,E02000215,4,165,340,48.6%
England,E02000216,5,160,160,98.3%
England,E02000217,3,175,450,38.9%
England,E02000218,4,235,545,43.3%
England,E02000219,5,330,540,61.1%
England,E02000220,5,130,235,55.2%
England,E02000221,4,255,595,42.8%
England,E02000222,5,180,285,63.4%
England,E02000223,1,185,840,21.7%
England,E02000224,5,180,340,52.5%
England,E02000225,1,130,720,18.0%
England,E02000226,5,300,525,56.9%
England,E02000227,3,300,815,36.6%
England,E02000228,5,330,425,77.4%
England,E02000229,1,120,540,22.0%
England,E02000230,5,370,520,70.6%
England,E02000231,5,510,590,86.9%
England,E02000232,4,205,455,44.8%
England,E02000233,4,170,370,46.1%
England,E02000234,4,225,475,46.9%
England,E02000235,5,245,445,54.6%
England,E02000236,4,260,565,46.0%
England,E02000237,4,215,495,43.6%
England,E02000238,4,290,605,48.0%
England,E02000239,5,305,460,65.8%
England,E02000240,4,300,735,40.8%
England,E02000241,5,230,435,52.4%
England,E02000242,5,200,380,53.1%
England,E02000243,5,245,470,51.9%
England,E02000244,5,215,345,62.3%
England,E02000245,4,235,565,41.7%
England,E02000246,4,295,700,42.4%
England,E02000247,4,295,615,47.9%
England,E02000248,5,190,245,78.9%
England,E02000249,5,245,460,53.7%
England,E02000250,5,235,190,100.0%
England,E02000251,5,360,645,55.6%
England,E02000252,5,225,430,52.6%
England,E02000253,4,295,705,42.2%
England,E02000254,5,370,665,55.6%
England,E02000255,5,395,520,76.5%
England,E02000256,5,300,210,100.0%
England,E02000257,5,345,230,100.0%
England,E02000258,5,185,285,63.8%
England,E02000259,5,245,435,56.2%
England,E02000260,5,260,505,51.7%
England,E02000261,5,315,455,69.3%
England,E02000262,5,205,295,70.5%
England,E02000263,4,400,820,48.7%
England,E02000264,5,270,210,100.0%
England,E02000265,5,240,380,62.5%
England,E02000266,4,410,1010,40.6%
England,E02000267,5,180,355,50.4%
England,E02000268,5,235,330,71.0%
England,E02000269,5,260,280,93.2%
England,E02000270,4,200,450,44.9%
England,E02000271,5,190,140,100.0%
England,E02000272,5,240,325,73.1%
England,E02000274,4,405,930,43.3%
England,E02000275,5,275,425,64.6%
England,E02000276,5,130,185,70.4%
England,E02000277,4,240,545,44.0%
England,E02000278,3,265,720,37.0%
England,E02000279,3,295,795,37.3%
England,E02000280,4,240,535,44.5%
England,E02000281,4,245,595,41.4%
England,E02000282,3,220,695,32.0%
England,E02000283,3,280,735,37.7%
England,E02000284,4,205,425,48.7%
England,E02000285,5,290,530,55.0%
England,E02000286,5,205,315,65.6%
England,E02000287,5,325,300,100.0%
England,E02000288,4,315,765,41.3%
England,E02000289,5,320,520,61.7%
England,E02000290,4,180,450,40.0%
England,E02000291,4,220,450,48.9%
England,E02000292,4,295,645,45.4%
England,E02000293,5,275,415,66.5%
England,E02000294,4,295,700,42.0%
England,E02000295,5,285,480,59.7%
England,E02000296,5,240,440,54.2%
England,E02000297,5,370,655,56.5%
England,E02000298,5,305,410,73.8%
England,E02000299,3,245,670,36.6%
England,E02000300,3,210,570,37.2%
England,E02000301,4,310,730,42.4%
England,E02000302,4,280,580,48.6%
England,E02000303,4,275,625,44.3%
England,E02000304,5,350,455,77.2%
England,E02000305,5,255,375,68.7%
England,E02000306,3,240,640,37.6%
England,E02000307,4,350,735,47.8%
England,E02000308,4,195,400,48.8%
England,E02000309,3,270,700,38.3%
England,E02000311,4,305,645,47.4%
England,E02000312,5,230,410,56.4%
England,E02000313,2,135,435,30.8%
England,E02000314,4,295,700,42.2%
England,E02000315,2,200,660,30.0%
England,E02000316,3,145,400,36.7%
England,E02000317,3,225,595,37.6%
England,E02000318,3,220,640,34.7%
England,E02000319,3,230,640,35.8%
England,E02000320,3,170,440,38.6%
England,E02000321,3,150,445,33.8%
England,E02000323,3,220,665,33.3%
England,E02000324,3,165,415,39.2%
England,E02000326,4,160,345,46.3%
England,E02000327,3,160,470,34.1%
England,E02000328,5,185,200,93.8%
England,E02000329,3,145,440,33.1%
England,E02000331,3,150,480,31.7%
England,E02000332,4,180,415,43.7%
England,E02000333,5,150,160,93.6%
England,E02000334,4,180,440,40.8%
England,E02000335,4,190,455,41.4%
England,E02000337,2,170,655,25.9%
England,E02000339,5,195,370,52.5%
England,E02000340,4,155,325,47.5%
England,E02000341,1,130,555,23.3%
England,E02000342,2,85,290,28.4%
England,E02000343,2,140,460,30.4%
England,E02000344,3,155,410,38.1%
England,E02000345,2,95,320,29.2%
England,E02000346,4,155,385,40.5%
England,E02000347,4,105,265,40.3%
England,E02000348,3,130,360,36.0%
England,E02000350,5,175,330,52.4%
England,E02000351,5,170,305,55.0%
England,E02000352,5,165,315,52.9%
England,E02000353,5,150,295,51.2%
England,E02000354,4,225,530,42.2%
England,E02000355,4,190,410,46.5%
England,E02000356,5,140,270,52.4%
England,E02000357,3,155,425,36.9%
England,E02000358,4,230,515,44.9%
England,E02000359,4,155,380,41.2%
England,E02000360,4,265,670,39.7%
England,E02000361,3,125,330,38.7%
England,E02000362,3,120,355,34.4%
England,E02000363,4,265,665,40.2%
England,E02000364,5,205,370,55.2%
England,E02000365,5,245,470,52.5%
England,E02000366,3,165,430,37.7%
England,E02000367,4,175,390,44.8%
England,E02000368,3,225,600,37.7%
England,E02000369,4,245,535,46.1%
England,E02000370,4,145,370,39.7%
England,E02000371,4,170,340,49.1%
England,E02000372,3,195,510,38.0%
England,E02000373,4,210,515,40.4%
England,E02000374,4,170,360,46.7%
England,E02000375,5,155,240,64.5%
England,E02000376,5,115,230,50.2%
England,E02000377,5,160,280,57.7%
England,E02000378,5,105,145,73.8%
England,E02000379,5,195,215,90.3%
England,E02000380,5,110,150,75.1%
England,E02000381,5,190,200,93.6%
England,E02000382,5,170,205,84.2%
England,E02000383,5,160,225,69.9%
England,E02000384,4,125,305,41.6%
England,E02000385,5,55,65,83.9%
England,E02000386,4,160,350,46.3%
England,E02000387,4,85,220,39.7%
England,E02000388,5,105,195,54.6%
England,E02000389,5,180,185,98.7%
England,E02000390,5,95,195,49.5%
England,E02000391,5,210,170,100.0%
England,E02000392,5,195,220,88.0%
England,E02000393,5,90,85,100.0%
England,E02000394,5,130,230,56.3%
England,E02000395,5,150,55,100.0%
England,E02000396,5,150,220,69.6%
England,E02000397,4,135,310,44.0%
England,E02000398,3,210,545,38.6%
England,E02000400,5,250,480,52.4%
England,E02000401,4,250,585,42.6%
England,E02000402,4,205,515,39.7%
England,E02000403,4,115,275,42.4%
England,E02000404,4,180,430,42.2%
England,E02000405,5,265,345,77.0%
England,E02000406,3,155,435,35.4%
England,E02000407,3,175,470,36.7%
England,E02000408,4,210,505,41.0%
England,E02000409,4,210,510,41.3%
England,E02000410,5,245,305,81.2%
England,E02000411,4,225,495,46.0%
England,E02000412,4,150,330,44.7%
England,E02000413,5,280,390,72.4%
England,E02000414,4,170,405,42.0%
England,E02000415,4,135,285,48.3%
England,E02000416,4,180,390,45.8%
England,E02000417,5,245,255,95.6%
England,E02000418,5,225,260,86.4%
England,E02000419,4,115,265,42.6%
England,E02000420,4,180,405,43.7%
England,E02000421,4,175,425,40.6%
England,E02000422,3,185,480,38.1%
England,E02000423,4,125,270,47.0%
England,E02000424,5,175,330,53.0%
England,E02000425,3,125,380,33.2%
England,E02000426,5,245,175,100.0%
England,E02000427,4,105,255,40.7%
England,E02000428,4,195,430,45.4%
England,E02000429,5,175,160,100.0%
England,E02000430,5,150,230,65.1%
England,E02000431,5,115,90,100.0%
England,E02000432,5,135,230,59.6%
England,E02000433,5,295,245,100.0%
England,E02000434,5,400,420,95.2%
England,E02000435,5,295,400,74.0%
England,E02000436,5,305,315,96.6%
England,E02000437,5,345,595,57.8%
England,E02000438,5,340,535,63.1%
England,E02000439,5,285,495,57.6%
England,E02000440,5,485,675,71.8%
England,E02000441,5,270,380,71.0%
England,E02000442,5,325,580,56.4%
England,E02000443,4,325,665,48.9%
England,E02000444,5,375,590,64.1%
England,E02000445,4,300,645,46.8%
England,E02000447,5,390,555,70.5%
England,E02000448,5,285,255,100.0%
England,E02000449,5,330,545,60.9%
England,E02000451,5,330,395,83.4%
England,E02000452,5,195,335,58.5%
England,E02000453,5,275,390,70.7%
England,E02000454,5,365,445,82.1%
England,E02000455,5,215,290,73.4%
England,E02000456,5,290,435,66.2%
England,E02000457,5,290,390,74.0%
England,E02000459,5,275,435,63.0%
England,E02000460,4,255,555,45.8%
England,E02000461,5,170,155,100.0%
England,E02000462,5,245,420,58.0%
England,E02000463,5,340,625,54.5%
England,E02000464,1,110,490,22.2%
England,E02000465,1,135,630,21.4%
England,E02000466,1,130,565,22.8%
England,E02000467,1,165,770,21.2%
England,E02000468,1,120,555,21.3%
England,E02000469,1,100,450,22.0%
England,E02000470,3,160,450,35.4%
England,E02000471,3,210,545,39.0%
England,E02000472,2,185,610,30.1%
England,E02000473,3,235,690,34.1%
England,E02000474,2,145,490,29.5%
England,E02000475,4,205,500,41.0%
England,E02000476,3,140,375,36.9%
England,E02000477,3,245,660,37.0%
England,E02000478,5,210,425,49.6%
England,E02000479,3,165,490,34.2%
England,E02000480,3,235,610,38.9%
England,E02000481,2,180,580,31.2%
England,E02000482,5,255,470,54.3%
England,E02000483,3,185,490,37.4%
England,E02000484,3,235,705,33.4%
England,E02000485,3,185,555,33.3%
England,E02000486,2,160,540,30.0%
England,E02000487,4,265,625,42.6%
England,E02000488,2,180,570,31.5%
England,E02000489,2,175,600,29.3%
England,E02000490,2,160,590,26.7%
England,E02000491,2,185,625,29.4%
England,E02000492,2,140,510,27.7%
England,E02000493,2,110,445,25.1%
England,E02000494,5,350,205,100.0%
England,E02000495,5,255,445,57.0%
England,E02000496,2,140,445,31.1%
England,E02000497,5,290,530,54.4%
England,E02000498,4,170,365,46.3%
England,E02000499,5,290,520,55.3%
England,E02000500,5,305,445,68.2%
England,E02000501,4,250,550,45.2%
England,E02000502,3,155,400,39.0%
England,E02000503,3,225,595,37.5%
England,E02000504,5,275,490,56.1%
England,E02000506,5,320,490,65.7%
England,E02000507,3,235,600,39.0%
England,E02000508,3,150,380,39.0%
England,E02000509,3,135,370,36.3%
England,E02000510,4,245,550,44.7%
England,E02000511,3,280,780,35.7%
England,E02000512,3,220,620,35.5%
England,E02000513,2,180,575,31.3%
England,E02000514,4,305,740,41.4%
England,E02000515,2,165,555,29.9%
England,E02000516,4,250,565,44.5%
England,E02000517,3,250,680,36.4%
England,E02000518,2,170,675,25.0%
England,E02000519,3,265,720,37.0%
England,E02000520,4,350,810,43.2%
England,E02000521,2,220,760,28.7%
England,E02000522,2,145,500,29.5%
England,E02000523,4,305,625,48.9%
England,E02000524,3,115,330,35.1%
England,E02000525,4,195,495,39.7%
England,E02000526,5,260,175,100.0%
England,E02000528,4,200,480,42.0%
England,E02000529,5,335,640,52.4%
England,E02000530,4,225,510,44.1%
England,E02000531,5,255,465,54.9%
England,E02000532,5,325,300,100.0%
England,E02000533,5,215,250,84.9%
England,E02000534,5,270,355,75.8%
England,E02000535,5,355,620,57.1%
England,E02000536,5,340,625,54.6%
England,E02000537,5,265,380,69.9%
England,E02000538,5,305,615,49.4%
England,E02000539,4,240,590,40.6%
England,E02000540,5,230,440,52.0%
England,E02000541,4,215,495,42.9%
England,E02000542,5,255,465,55.0%
England,E02000543,5,255,500,51.0%
England,E02000544,5,335,560,60.2%
England,E02000545,4,195,480,41.0%
England,E02000546,5,310,590,52.5%
England,E02000547,3,185,570,32.5%
England,E02000548,2,155,550,27.7%
England,E02000549,3,265,790,33.3%
England,E02000550,1,160,720,22.4%
England,E02000551,2,200,660,30.2%
England,E02000552,2,145,480,29.9%
England,E02000553,2,130,445,29.3%
England,E02000554,4,210,500,41.8%
England,E02000555,4,210,425,48.9%
England,E02000556,3,155,395,39.3%
England,E02000557,4,160,360,44.9%
England,E02000558,3,200,535,37.4%
England,E02000559,5,155,305,51.7%
England,E02000560,4,95,215,44.6%
England,E02000561,5,175,280,62.6%
England,E02000562,5,190,335,56.7%
England,E02000563,3,155,405,38.8%
England,E02000564,4,160,355,45.5%
England,E02000565,4,195,420,46.6%
England,E02000566,5,225,280,80.6%
England,E02000567,4,175,365,47.7%
England,E02000568,3,170,435,38.7%
England,E02000569,4,175,430,40.7%
England,E02000570,5,205,225,91.3%
England,E02000571,3,135,365,36.9%
England,E02000572,3,185,510,36.5%
England,E02000573,5,140,235,59.0%
England,E02000574,4,115,255,45.4%
England,E02000575,4,165,340,48.7%
England,E02000576,4,135,330,40.6%
England,E02000577,4,195,465,41.3%
England,E02000578,4,195,425,45.6%
England,E02000579,5,205,325,62.9%
England,E02000580,5,160,300,53.6%
England,E02000581,4,205,425,48.4%
England,E02000582,5,110,65,100.0%
England,E02000583,5,190,105,100.0%
England,E02000584,5,155,75,100.0%
England,E02000585,5,190,145,100.0%
England,E02000586,5,155,65,100.0%
England,E02000587,5,175,60,100.0%
England,E02000588,5,125,65,100.0%
England,E02000589,5,120,80,100.0%
England,E02000590,5,145,150,96.1%
England,E02000591,5,105,120,88.1%
England,E02000592,5,110,35,100.0%
England,E02000593,5,100,95,100.0%
England,E02000594,5,130,75,100.0%
England,E02000595,5,150,50,100.0%
England,E02000596,5,110,65,100.0%
England,E02000597,5,180,260,68.5%
England,E02000598,5,320,405,78.4%
England,E02000599,5,415,290,100.0%
England,E02000600,5,215,270,79.3%
England,E02000601,5,275,420,65.5%
England,E02000602,5,200,405,49.5%
England,E02000603,4,255,605,42.3%
England,E02000604,5,315,445,70.7%
England,E02000605,5,355,470,75.1%
England,E02000606,5,160,220,73.1%
England,E02000607,5,185,280,65.8%
England,E02000608,5,75,120,63.5%
England,E02000609,5,330,510,64.1%
England,E02000610,5,135,170,79.7%
England,E02000611,5,280,430,65.8%
England,E02000612,5,305,515,59.6%
England,E02000613,5,175,335,52.3%
England,E02000614,4,280,615,45.4%
England,E02000615,3,200,530,37.9%
England,E02000616,3,145,390,36.9%
England,E02000617,3,205,595,34.7%
England,E02000619,4,165,385,42.4%
England,E02000620,4,150,365,41.4%
England,E02000621,5,160,300,52.8%
England,E02000622,4,135,340,40.4%
England,E02000623,4,175,425,41.2%
England,E02000624,3,160,415,38.6%
England,E02000625,3,195,545,35.5%
England,E02000626,3,185,520,36.1%
England,E02000627,4,190,385,48.9%
England,E02000628,3,235,670,34.7%
England,E02000629,5,160,265,61.5%
England,E02000630,5,145,185,76.8%
England,E02000631,5,220,325,67.0%
England,E02000632,4,95,210,45.0%
England,E02000633,4,150,370,40.2%
England,E02000634,4,120,245,48.5%
England,E02000635,4,170,420,40.7%
England,E02000636,5,175,155,100.0%
England,E02000637,4,100,240,40.9%
England,E02000638,3,175,445,39.0%
England,E02000639,4,185,445,41.8%
England,E02000640,5,140,255,54.5%
England,E02000641,3,225,600,37.4%
England,E02000642,5,210,400,52.9%
England,E02000643,5,150,270,55.0%
England,E02000644,5,195,360,54.4%
England,E02000645,5,215,350,61.7%
England,E02000646,5,175,260,67.8%
England,E02000647,5,225,410,55.3%
England,E02000648,3,145,440,32.4%
England,E02000649,5,190,340,56.1%
England,E02000650,4,185,420,44.3%
England,E02000651,5,210,360,58.2%
England,E02000652,4,220,495,44.7%
England,E02000653,4,220,520,42.0%
England,E02000654,4,250,545,45.7%
England,E02000655,4,200,440,45.7%
England,E02000657,4,175,400,43.8%
England,E02000658,5,235,415,56.7%
England,E02000659,5,195,390,50.3%
England,E02000660,4,145,320,45.7%
England,E02000661,5,125,175,71.8%
England,E02000662,4,190,465,40.8%
England,E02000663,5,185,345,53.4%
England,E02000664,4,180,380,47.5%
England,E02000665,4,145,310,46.8%
England,E02000666,4,205,460,44.0%
England,E02000667,4,160,350,44.8%
England,E02000668,5,195,310,62.4%
England,E02000669,4,130,300,42.9%
England,E02000670,4,150,350,42.5%
England,E02000671,4,190,420,44.8%
England,E02000672,4,195,410,47.5%
England,E02000673,5,190,330,58.1%
England,E02000674,4,255,560,45.3%
England,E02000675,4,195,445,44.1%
England,E02000676,4,170,410,41.9%
England,E02000677,5,270,490,54.5%
England,E02000678,2,140,460,30.7%
England,E02000679,4,215,465,45.9%
England,E02000680,4,155,365,42.2%
England,E02000681,2,180,580,31.0%
England,E02000682,3,230,615,37.5%
England,E02000683,3,150,460,32.2%
England,E02000685,4,170,390,44.4%
England,E02000686,3,155,470,33.3%
England,E02000687,4,165,385,42.1%
England,E02000689,5,260,205,100.0%
England,E02000690,5,280,75,100.0%
England,E02000691,5,230,190,100.0%
England,E02000692,5,200,65,100.0%
England,E02000693,4,130,275,46.3%
England,E02000694,5,115,205,57.2%
England,E02000695,5,275,515,53.7%
England,E02000696,4,200,475,41.9%
England,E02000697,5,160,150,100.0%
England,E02000698,5,295,220,100.0%
England,E02000699,5,170,205,82.3%
England,E02000700,3,185,530,35.1%
England,E02000701,4,260,585,44.3%
England,E02000702,4,220,550,40.3%
England,E02000703,5,310,360,87.2%
England,E02000704,5,145,270,54.5%
England,E02000705,5,330,665,49.6%
England,E02000706,3,235,640,36.7%
England,E02000707,4,290,690,42.3%
England,E02000708,5,270,465,57.8%
England,E02000709,5,280,485,57.5%
England,E02000710,4,220,520,42.8%
England,E02000711,3,195,530,36.9%
England,E02000712,3,220,655,33.3%
England,E02000713,3,195,515,38.1%
England,E02000714,4,225,510,44.0%
England,E02000715,4,235,530,44.7%
England,E02000716,4,180,430,41.6%
England,E02000717,4,240,490,48.6%
England,E02000718,4,195,460,42.4%
England,E02000719,4,185,450,41.6%
England,E02000720,5,240,465,51.1%
England,E02000721,4,310,665,46.4%
