Area,Year,Solar PV Installed MW,Solar PV New Additions MW,,,,,,,,,,,,,,,,,,,,,,,
Africa,2019,8329.842,1172.814,,,,,,,,,,,,,,,,,,,,,,,
Africa,2020,9551.094,1221.252,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2000,335.981,,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2001,465.894,129.913,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2002,652.788,186.894,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2003,880.823,228.035,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2004,1160.246,279.423,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2005,1463.201,302.955,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2006,1804.952,341.751,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2007,2088.122,283.170,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2008,2610.211,522.089,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2009,3298.721,688.510,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2010,4506.785,1208.064,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2011,6541.071,2034.286,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2012,9478.795,2937.724,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2013,18265.853,8787.058,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2014,31916.707,13650.854,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2015,46653.895,14737.188,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2016,62252.189,15598.294,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2017,80637.520,18385.331,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2018,100713.448,20075.928,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2019,127099.579,26386.131,,,,,,,,,,,,,,,,,,,,,,,
Asia (ex. China),2020,154088.939,26989.360,,,,,,,,,,,,,,,,,,,,,,,
China,2000,33.515,,,,,,,,,,,,,,,,,,,,,,,,
China,2001,38.020,4.505,,,,,,,,,,,,,,,,,,,,,,,
China,2002,56.530,18.510,,,,,,,,,,,,,,,,,,,,,,,
China,2003,66.600,10.070,,,,,,,,,,,,,,,,,,,,,,,
China,2004,76.600,10.000,,,,,,,,,,,,,,,,,,,,,,,
China,2005,141.200,64.600,,,,,,,,,,,,,,,,,,,,,,,
China,2006,160.200,19.000,,,,,,,,,,,,,,,,,,,,,,,
China,2007,199.000,38.800,,,,,,,,,,,,,,,,,,,,,,,
China,2008,253.000,54.000,,,,,,,,,,,,,,,,,,,,,,,
China,2009,414.800,161.800,,,,,,,,,,,,,,,,,,,,,,,
China,2010,1021.800,607.000,,,,,,,,,,,,,,,,,,,,,,,
China,2011,3107.800,2086.000,,,,,,,,,,,,,,,,,,,,,,,
China,2012,6717.800,3610.000,,,,,,,,,,,,,,,,,,,,,,,
China,2013,17747.800,11030.000,,,,,,,,,,,,,,,,,,,,,,,
China,2014,28387.800,10640.000,,,,,,,,,,,,,,,,,,,,,,,
China,2015,43537.800,15150.000,,,,,,,,,,,,,,,,,,,,,,,
China,2016,77787.800,34250.000,,,,,,,,,,,,,,,,,,,,,,,
China,2017,130801.290,53013.490,,,,,,,,,,,,,,,,,,,,,,,
China,2018,175015.864,44214.574,,,,,,,,,,,,,,,,,,,,,,,
China,2019,204574.800,29558.936,,,,,,,,,,,,,,,,,,,,,,,
China,2020,253833.800,49259.000,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2000,2.613,,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2001,3.960,1.347,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2002,5.017,1.057,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2003,6.299,1.282,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2004,7.537,1.238,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2005,9.185,1.648,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2006,13.745,4.560,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2007,18.592,4.847,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2008,24.827,6.235,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2009,44.769,19.942,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2010,72.068,27.299,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2011,103.914,31.846,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2012,161.260,57.346,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2013,264.050,102.790,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2014,334.274,70.224,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2015,917.007,582.733,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2016,1130.695,213.688,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2017,1471.423,340.728,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2018,1831.785,360.362,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2019,2165.489,333.704,,,,,,,,,,,,,,,,,,,,,,,
C America + Carib,2020,2292.770,127.281,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2000,0.100,,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2001,0.300,0.200,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2002,0.600,0.300,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2003,1.000,0.400,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2004,1.500,0.500,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2005,2.000,0.500,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2006,2.500,0.500,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2007,3.100,0.600,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2008,3.800,0.700,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2009,4.800,1.000,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2010,6.010,1.210,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2011,7.723,1.713,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2012,12.793,5.070,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2013,19.959,7.166,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2014,47.400,27.441,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2015,315.120,267.720,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2016,935.470,620.350,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2017,3677.070,2741.600,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2018,5650.410,1973.340,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2019,7357.284,1706.874,,,,,,,,,,,,,,,,,,,,,,,
Eurasia,2020,8225.984,868.700,,,,,,,,,,,,,,,,,,,,,,,
Europe,2000,200.100,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2001,300.360,100.260,,,,,,,,,,,,,,,,,,,,,,,
Europe,2002,385.993,85.633,,,,,,,,,,,,,,,,,,,,,,,
Europe,2003,624.770,238.777,,,,,,,,,,,,,,,,,,,,,,,
Europe,2004,1336.361,711.591,,,,,,,,,,,,,,,,,,,,,,,
Europe,2005,2316.460,980.099,,,,,,,,,,,,,,,,,,,,,,,
Europe,2006,3267.473,951.013,,,,,,,,,,,,,,,,,,,,,,,
Europe,2007,5040.266,1772.793,,,,,,,,,,,,,,,,,,,,,,,
Europe,2008,10458.160,5417.894,,,,,,,,,,,,,,,,,,,,,,,
Europe,2009,16835.742,6377.582,,,,,,,,,,,,,,,,,,,,,,,
Europe,2010,30119.155,13283.413,,,,,,,,,,,,,,,,,,,,,,,
Europe,2011,53564.949,23445.794,,,,,,,,,,,,,,,,,,,,,,,
Europe,2012,71716.285,18151.336,,,,,,,,,,,,,,,,,,,,,,,
Europe,2013,81859.242,10142.957,,,,,,,,,,,,,,,,,,,,,,,
Europe,2014,88779.958,6920.716,,,,,,,,,,,,,,,,,,,,,,,
Europe,2015,97292.981,8513.023,,,,,,,,,,,,,,,,,,,,,,,
Europe,2016,103859.364,6566.383,,,,,,,,,,,,,,,,,,,,,,,
Europe,2017,109984.435,6125.071,,,,,,,,,,,,,,,,,,,,,,,
Europe,2018,119308.814,9324.379,,,,,,,,,,,,,,,,,,,,,,,
Europe,2019,140225.937,20917.123,,,,,,,,,,,,,,,,,,,,,,,
Europe,2020,160870.373,20644.436,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2000,0.350,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2001,0.355,0.005,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2002,0.355,0.000,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2003,0.355,0.000,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2004,0.385,0.030,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2005,1.385,1.000,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2006,1.727,0.342,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2007,2.258,0.531,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2008,4.408,2.150,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2009,36.098,31.690,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2010,84.808,48.710,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2011,208.568,123.760,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2012,267.902,59.334,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2013,507.334,239.432,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2014,798.019,290.685,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2015,972.590,174.571,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2016,1479.873,507.283,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2017,2109.301,629.428,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2018,3324.355,1215.054,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2019,5509.245,2184.890,,,,,,,,,,,,,,,,,,,,,,,
Middle East,2020,7650.646,2141.401,,,,,,,,,,,,,,,,,,,,,,,
N America,2000,197.000,,,,,,,,,,,,,,,,,,,,,,,,
N America,2001,237.000,40.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2002,281.000,44.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2003,321.000,40.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2004,393.000,72.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2005,527.000,134.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2006,736.000,209.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2007,1022.000,286.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2008,1210.000,188.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2009,1746.000,536.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2010,3187.000,1441.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2011,5839.000,2652.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2012,8963.000,3124.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2013,13051.000,4088.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2014,17943.000,4892.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2015,24376.000,6433.000,,,,,,,,,,,,,,,,,,,,,,,
N America,2016,36011.600,11635.600,,,,,,,,,,,,,,,,,,,,,,,
N America,2017,44962.740,8951.140,,,,,,,,,,,,,,,,,,,,,,,
N America,2018,55448.139,10485.399,,,,,,,,,,,,,,,,,,,,,,,
N America,2019,66821.347,11373.208,,,,,,,,,,,,,,,,,,,,,,,
N America,2020,82785.347,15964.000,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2000,26.148,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2001,30.635,4.487,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2002,35.822,5.187,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2003,41.066,5.244,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2004,48.412,7.346,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2005,54.911,6.499,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2006,64.270,9.359,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2007,76.708,12.438,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2008,89.376,12.668,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2009,337.405,248.029,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2010,1099.341,761.936,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2011,2491.227,1391.886,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2012,3826.266,1335.039,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2013,4605.497,779.231,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2014,5353.112,747.615,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2015,6073.928,720.816,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2016,6854.329,780.401,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2017,7570.967,716.638,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2018,8874.399,1303.432,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2019,13284.592,4410.193,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2020,17704.118,4419.526,,,,,,,,,,,,,,,,,,,,,,,
S America,2000,1.909,,,,,,,,,,,,,,,,,,,,,,,,
S America,2001,3.407,1.498,,,,,,,,,,,,,,,,,,,,,,,
S America,2002,4.654,1.247,,,,,,,,,,,,,,,,,,,,,,,
S America,2003,6.121,1.467,,,,,,,,,,,,,,,,,,,,,,,
S America,2004,7.076,0.955,,,,,,,,,,,,,,,,,,,,,,,
S America,2005,7.828,0.752,,,,,,,,,,,,,,,,,,,,,,,
S America,2006,9.028,1.200,,,,,,,,,,,,,,,,,,,,,,,
S America,2007,10.390,1.362,,,,,,,,,,,,,,,,,,,,,,,
S America,2008,13.170,2.780,,,,,,,,,,,,,,,,,,,,,,,
S America,2009,17.415,4.245,,,,,,,,,,,,,,,,,,,,,,,
S America,2010,43.116,25.701,,,,,,,,,,,,,,,,,,,,,,,
S America,2011,69.137,26.021,,,,,,,,,,,,,,,,,,,,,,,
S America,2012,163.839,94.702,,,,,,,,,,,,,,,,,,,,,,,
S America,2013,197.182,33.343,,,,,,,,,,,,,,,,,,,,,,,
S America,2014,468.459,271.277,,,,,,,,,,,,,,,,,,,,,,,
S America,2015,866.493,398.034,,,,,,,,,,,,,,,,,,,,,,,
S America,2016,1510.647,644.154,,,,,,,,,,,,,,,,,,,,,,,
S America,2017,3671.880,2161.233,,,,,,,,,,,,,,,,,,,,,,,
S America,2018,5587.360,1915.480,,,,,,,,,,,,,,,,,,,,,,,
S America,2019,8504.096,2916.736,,,,,,,,,,,,,,,,,,,,,,,
S America,2020,12670.524,4166.428,,,,,,,,,,,,,,,,,,,,,,,
