DATE,UNRATE,UNEMPLOY
1960-02-01,0.048,3329
1960-03-01,0.054000000000000006,3726
1960-04-01,0.052000000000000005,3620
1960-05-01,0.051,3569
1960-06-01,0.054000000000000006,3766
1960-07-01,0.055,3836
1960-08-01,0.055999999999999994,3946
1960-09-01,0.055,3884
1960-10-01,0.061,4252
1960-11-01,0.061,4330
1960-12-01,0.066,4617
1961-01-01,0.066,4671
1961-02-01,0.069,4832
1961-03-01,0.069,4853
1961-04-01,0.07,4893
1961-05-01,0.071,5003
1961-06-01,0.069,4885
1961-07-01,0.07,4928
1961-08-01,0.066,4682
1961-09-01,0.067,4676
1961-10-01,0.065,4573
1961-11-01,0.061,4295
1961-12-01,0.06,4177
1962-01-01,0.057999999999999996,4081
1962-02-01,0.055,3871
1962-03-01,0.055999999999999994,3921
1962-04-01,0.055999999999999994,3906
1962-05-01,0.055,3863
1962-06-01,0.055,3844
1962-07-01,0.054000000000000006,3819
1962-08-01,0.057,4013
1962-09-01,0.055999999999999994,3961
1962-10-01,0.054000000000000006,3803
1962-11-01,0.057,4024
1962-12-01,0.055,3907
1963-01-01,0.057,4074
1963-02-01,0.059000000000000004,4238
1963-03-01,0.057,4072
1963-04-01,0.057,4055
1963-05-01,0.059000000000000004,4217
1963-06-01,0.055999999999999994,3977
1963-07-01,0.055999999999999994,4051
1963-08-01,0.054000000000000006,3878
1963-09-01,0.055,3957
1963-10-01,0.055,3987
1963-11-01,0.057,4151
1963-12-01,0.055,3975
1964-01-01,0.055999999999999994,4029
1964-02-01,0.054000000000000006,3932
1964-03-01,0.054000000000000006,3950
1964-04-01,0.053,3918
1964-05-01,0.051,3764
1964-06-01,0.052000000000000005,3814
1964-07-01,0.049,3608
1964-08-01,0.05,3655
1964-09-01,0.051,3712
1964-10-01,0.051,3726
1964-11-01,0.048,3551
1964-12-01,0.05,3651
1965-01-01,0.049,3572
1965-02-01,0.051,3730
1965-03-01,0.047,3510
1965-04-01,0.048,3595
1965-05-01,0.046,3432
1965-06-01,0.046,3387
1965-07-01,0.044000000000000004,3301
1965-08-01,0.044000000000000004,3254
1965-09-01,0.043,3216
1965-10-01,0.042,3143
1965-11-01,0.040999999999999995,3073
1965-12-01,0.04,3031
1966-01-01,0.04,2988
1966-02-01,0.038,2820
1966-03-01,0.038,2887
1966-04-01,0.038,2828
1966-05-01,0.039,2950
1966-06-01,0.038,2872
1966-07-01,0.038,2876
1966-08-01,0.038,2900
1966-09-01,0.037000000000000005,2798
1966-10-01,0.037000000000000005,2798
1966-11-01,0.036000000000000004,2770
1966-12-01,0.038,2912
1967-01-01,0.039,2968
1967-02-01,0.038,2915
1967-03-01,0.038,2889
1967-04-01,0.038,2895
1967-05-01,0.038,2929
1967-06-01,0.039,2992
1967-07-01,0.038,2944
1967-08-01,0.038,2945
1967-09-01,0.038,2958
1967-10-01,0.04,3143
1967-11-01,0.039,3066
1967-12-01,0.038,3018
1968-01-01,0.037000000000000005,2878
1968-02-01,0.038,3001
1968-03-01,0.037000000000000005,2877
1968-04-01,0.035,2709
1968-05-01,0.035,2740
1968-06-01,0.037000000000000005,2938
1968-07-01,0.037000000000000005,2883
1968-08-01,0.035,2768
1968-09-01,0.034,2686
1968-10-01,0.034,2689
1968-11-01,0.034,2715
1968-12-01,0.034,2685
1969-01-01,0.034,2718
1969-02-01,0.034,2692
1969-03-01,0.034,2712
1969-04-01,0.034,2758
1969-05-01,0.034,2713
1969-06-01,0.035,2816
1969-07-01,0.035,2868
1969-08-01,0.035,2856
1969-09-01,0.037000000000000005,3040
1969-10-01,0.037000000000000005,3049
1969-11-01,0.035,2856
1969-12-01,0.035,2884
1970-01-01,0.039,3201
1970-02-01,0.042,3453
1970-03-01,0.044000000000000004,3635
1970-04-01,0.046,3797
1970-05-01,0.048,3919
1970-06-01,0.049,4071
1970-07-01,0.05,4175
1970-08-01,0.051,4256
1970-09-01,0.054000000000000006,4456
1970-10-01,0.055,4591
1970-11-01,0.059000000000000004,4898
1970-12-01,0.061,5076
1971-01-01,0.059000000000000004,4986
1971-02-01,0.059000000000000004,4903
1971-03-01,0.06,4987
1971-04-01,0.059000000000000004,4959
1971-05-01,0.059000000000000004,4996
1971-06-01,0.059000000000000004,4949
1971-07-01,0.06,5035
1971-08-01,0.061,5134
1971-09-01,0.06,5042
1971-10-01,0.057999999999999996,4954
1971-11-01,0.06,5161
1971-12-01,0.06,5154
1972-01-01,0.057999999999999996,5019
1972-02-01,0.057,4928
1972-03-01,0.057999999999999996,5038
1972-04-01,0.057,4959
1972-05-01,0.057,4922
1972-06-01,0.057,4923
1972-07-01,0.055999999999999994,4913
1972-08-01,0.055999999999999994,4939
1972-09-01,0.055,4849
1972-10-01,0.055999999999999994,4875
1972-11-01,0.053,4602
1972-12-01,0.052000000000000005,4543
1973-01-01,0.049,4326
1973-02-01,0.05,4452
1973-03-01,0.049,4394
1973-04-01,0.05,4459
1973-05-01,0.049,4329
1973-06-01,0.049,4363
1973-07-01,0.048,4305
1973-08-01,0.048,4305
1973-09-01,0.048,4350
1973-10-01,0.046,4144
1973-11-01,0.048,4396
1973-12-01,0.049,4489
1974-01-01,0.051,4644
1974-02-01,0.052000000000000005,4731
1974-03-01,0.051,4634
1974-04-01,0.051,4618
1974-05-01,0.051,4705
1974-06-01,0.054000000000000006,4927
1974-07-01,0.055,5063
1974-08-01,0.055,5022
1974-09-01,0.059000000000000004,5437
1974-10-01,0.06,5523
1974-11-01,0.066,6140
1974-12-01,0.07200000000000001,6636
1975-01-01,0.081,7501
1975-02-01,0.081,7520
1975-03-01,0.086,7978
1975-04-01,0.08800000000000001,8210
1975-05-01,0.09,8433
1975-06-01,0.08800000000000001,8220
1975-07-01,0.086,8127
1975-08-01,0.084,7928
1975-09-01,0.084,7923
1975-10-01,0.084,7897
1975-11-01,0.083,7794
1975-12-01,0.08199999999999999,7744
1976-01-01,0.079,7534
1976-02-01,0.077,7326
1976-03-01,0.076,7230
1976-04-01,0.077,7330
1976-05-01,0.07400000000000001,7053
1976-06-01,0.076,7322
1976-07-01,0.078,7490
1976-08-01,0.078,7518
1976-09-01,0.076,7380
1976-10-01,0.077,7430
1976-11-01,0.078,7620
1976-12-01,0.078,7545
1977-01-01,0.075,7280
1977-02-01,0.076,7443
1977-03-01,0.07400000000000001,7307
1977-04-01,0.07200000000000001,7059
1977-05-01,0.07,6911
1977-06-01,0.07200000000000001,7134
1977-07-01,0.069,6829
1977-08-01,0.07,6925
1977-09-01,0.068,6751
1977-10-01,0.068,6763
1977-11-01,0.068,6815
1977-12-01,0.064,6386
1978-01-01,0.064,6489
1978-02-01,0.063,6318
1978-03-01,0.063,6337
1978-04-01,0.061,6180
1978-05-01,0.06,6127
1978-06-01,0.059000000000000004,6028
1978-07-01,0.062,6309
1978-08-01,0.059000000000000004,6080
1978-09-01,0.06,6125
1978-10-01,0.057999999999999996,5947
1978-11-01,0.059000000000000004,6077
1978-12-01,0.06,6228
1979-01-01,0.059000000000000004,6109
1979-02-01,0.059000000000000004,6173
1979-03-01,0.057999999999999996,6109
1979-04-01,0.057999999999999996,6069
1979-05-01,0.055999999999999994,5840
1979-06-01,0.057,5959
1979-07-01,0.057,5996
1979-08-01,0.06,6320
1979-09-01,0.059000000000000004,6190
1979-10-01,0.06,6296
1979-11-01,0.059000000000000004,6238
1979-12-01,0.06,6325
1980-01-01,0.063,6683
1980-02-01,0.063,6702
1980-03-01,0.063,6729
1980-04-01,0.069,7358
1980-05-01,0.075,7984
1980-06-01,0.076,8098
1980-07-01,0.078,8363
1980-08-01,0.077,8281
1980-09-01,0.075,8021
1980-10-01,0.075,8088
1980-11-01,0.075,8023
1980-12-01,0.07200000000000001,7718
1981-01-01,0.075,8071
1981-02-01,0.07400000000000001,8051
1981-03-01,0.07400000000000001,7982
1981-04-01,0.07200000000000001,7869
1981-05-01,0.075,8174
1981-06-01,0.075,8098
1981-07-01,0.07200000000000001,7863
1981-08-01,0.07400000000000001,8036
1981-09-01,0.076,8230
1981-10-01,0.079,8646
1981-11-01,0.083,9029
1981-12-01,0.085,9267
1982-01-01,0.086,9397
1982-02-01,0.08900000000000001,9705
1982-03-01,0.09,9895
1982-04-01,0.09300000000000001,10244
1982-05-01,0.094,10335
1982-06-01,0.096,10538
1982-07-01,0.098,10849
1982-08-01,0.098,10881
1982-09-01,0.10099999999999999,11217
1982-10-01,0.10400000000000001,11529
1982-11-01,0.10800000000000001,11938
1982-12-01,0.10800000000000001,12051
1983-01-01,0.10400000000000001,11534
1983-02-01,0.10400000000000001,11545
1983-03-01,0.10300000000000001,11408
1983-04-01,0.102,11268
1983-05-01,0.10099999999999999,11154
1983-06-01,0.10099999999999999,11246
1983-07-01,0.094,10548
1983-08-01,0.095,10623
1983-09-01,0.092,10282
1983-10-01,0.08800000000000001,9887
1983-11-01,0.085,9499
1983-12-01,0.083,9331
1984-01-01,0.08,9008
1984-02-01,0.078,8791
1984-03-01,0.078,8746
1984-04-01,0.077,8762
1984-05-01,0.07400000000000001,8456
1984-06-01,0.07200000000000001,8226
1984-07-01,0.075,8537
1984-08-01,0.075,8519
1984-09-01,0.073,8367
1984-10-01,0.07400000000000001,8381
1984-11-01,0.07200000000000001,8198
1984-12-01,0.073,8358
1985-01-01,0.073,8423
1985-02-01,0.07200000000000001,8321
1985-03-01,0.07200000000000001,8339
1985-04-01,0.073,8395
1985-05-01,0.07200000000000001,8302
1985-06-01,0.07400000000000001,8460
1985-07-01,0.07400000000000001,8513
1985-08-01,0.071,8196
1985-09-01,0.071,8248
1985-10-01,0.071,8298
1985-11-01,0.07,8128
1985-12-01,0.07,8138
1986-01-01,0.067,7795
1986-02-01,0.07200000000000001,8402
1986-03-01,0.07200000000000001,8383
1986-04-01,0.071,8364
1986-05-01,0.07200000000000001,8439
1986-06-01,0.07200000000000001,8508
1986-07-01,0.07,8319
1986-08-01,0.069,8135
1986-09-01,0.07,8310
1986-10-01,0.07,8243
1986-11-01,0.069,8159
1986-12-01,0.066,7883
1987-01-01,0.066,7892
1987-02-01,0.066,7865
1987-03-01,0.066,7862
1987-04-01,0.063,7542
1987-05-01,0.063,7574
1987-06-01,0.062,7398
1987-07-01,0.061,7268
1987-08-01,0.06,7261
1987-09-01,0.059000000000000004,7102
1987-10-01,0.06,7227
1987-11-01,0.057999999999999996,7035
1987-12-01,0.057,6936
1988-01-01,0.057,6953
1988-02-01,0.057,6929
1988-03-01,0.057,6876
1988-04-01,0.054000000000000006,6601
1988-05-01,0.055999999999999994,6779
1988-06-01,0.054000000000000006,6546
1988-07-01,0.054000000000000006,6605
1988-08-01,0.055999999999999994,6843
1988-09-01,0.054000000000000006,6604
1988-10-01,0.054000000000000006,6568
1988-11-01,0.053,6537
1988-12-01,0.053,6518
1989-01-01,0.054000000000000006,6682
1989-02-01,0.052000000000000005,6359
1989-03-01,0.05,6205
1989-04-01,0.052000000000000005,6468
1989-05-01,0.052000000000000005,6375
1989-06-01,0.053,6577
1989-07-01,0.052000000000000005,6495
1989-08-01,0.052000000000000005,6511
1989-09-01,0.053,6590
1989-10-01,0.053,6630
1989-11-01,0.054000000000000006,6725
1989-12-01,0.054000000000000006,6667
1990-01-01,0.054000000000000006,6752
1990-02-01,0.053,6651
1990-03-01,0.052000000000000005,6598
1990-04-01,0.054000000000000006,6797
1990-05-01,0.054000000000000006,6742
1990-06-01,0.052000000000000005,6590
1990-07-01,0.055,6922
1990-08-01,0.057,7188
1990-09-01,0.059000000000000004,7368
1990-10-01,0.059000000000000004,7459
1990-11-01,0.062,7764
1990-12-01,0.063,7901
1991-01-01,0.064,8015
1991-02-01,0.066,8265
1991-03-01,0.068,8586
1991-04-01,0.067,8439
1991-05-01,0.069,8736
1991-06-01,0.069,8692
1991-07-01,0.068,8586
1991-08-01,0.069,8666
1991-09-01,0.069,8722
1991-10-01,0.07,8842
1991-11-01,0.07,8931
1991-12-01,0.073,9198
1992-01-01,0.073,9283
1992-02-01,0.07400000000000001,9454
1992-03-01,0.07400000000000001,9460
1992-04-01,0.07400000000000001,9415
1992-05-01,0.076,9744
1992-06-01,0.078,10040
1992-07-01,0.077,9850
1992-08-01,0.076,9787
1992-09-01,0.076,9781
1992-10-01,0.073,9398
1992-11-01,0.07400000000000001,9565
1992-12-01,0.07400000000000001,9557
1993-01-01,0.073,9325
1993-02-01,0.071,9183
1993-03-01,0.07,9056
1993-04-01,0.071,9110
1993-05-01,0.071,9149
1993-06-01,0.07,9121
1993-07-01,0.069,8930
1993-08-01,0.068,8763
1993-09-01,0.067,8714
1993-10-01,0.068,8750
1993-11-01,0.066,8542
1993-12-01,0.065,8477
1994-01-01,0.066,8630
1994-02-01,0.066,8583
1994-03-01,0.065,8470
1994-04-01,0.064,8331
1994-05-01,0.061,7915
1994-06-01,0.061,7927
1994-07-01,0.061,7946
1994-08-01,0.06,7933
1994-09-01,0.059000000000000004,7734
1994-10-01,0.057999999999999996,7632
1994-11-01,0.055999999999999994,7375
1994-12-01,0.055,7230
1995-01-01,0.055999999999999994,7375
1995-02-01,0.054000000000000006,7187
1995-03-01,0.054000000000000006,7153
1995-04-01,0.057999999999999996,7645
1995-05-01,0.055999999999999994,7430
1995-06-01,0.055999999999999994,7427
1995-07-01,0.057,7527
1995-08-01,0.057,7484
1995-09-01,0.055999999999999994,7478
1995-10-01,0.055,7328
1995-11-01,0.055999999999999994,7426
1995-12-01,0.055999999999999994,7423
1996-01-01,0.055999999999999994,7491
1996-02-01,0.055,7313
1996-03-01,0.055,7318
1996-04-01,0.055999999999999994,7415
1996-05-01,0.055999999999999994,7423
1996-06-01,0.053,7095
1996-07-01,0.055,7337
1996-08-01,0.051,6882
1996-09-01,0.052000000000000005,6979
1996-10-01,0.052000000000000005,7031
1996-11-01,0.054000000000000006,7236
1996-12-01,0.054000000000000006,7253
1997-01-01,0.053,7158
1997-02-01,0.052000000000000005,7102
1997-03-01,0.052000000000000005,7000
1997-04-01,0.051,6873
1997-05-01,0.049,6655
1997-06-01,0.05,6799
1997-07-01,0.049,6655
1997-08-01,0.048,6608
1997-09-01,0.049,6656
1997-10-01,0.047,6454
1997-11-01,0.046,6308
1997-12-01,0.047,6476
1998-01-01,0.046,6368
1998-02-01,0.046,6306
1998-03-01,0.047,6422
1998-04-01,0.043,5941
1998-05-01,0.044000000000000004,6047
1998-06-01,0.045,6212
1998-07-01,0.045,6259
1998-08-01,0.045,6179
1998-09-01,0.046,6300
1998-10-01,0.045,6280
1998-11-01,0.044000000000000004,6100
1998-12-01,0.044000000000000004,6032
1999-01-01,0.043,5976
1999-02-01,0.044000000000000004,6111
1999-03-01,0.042,5783
1999-04-01,0.043,6004
1999-05-01,0.042,5796
1999-06-01,0.043,5951
1999-07-01,0.043,6025
1999-08-01,0.042,5838
1999-09-01,0.042,5915
1999-10-01,0.040999999999999995,5778
1999-11-01,0.040999999999999995,5716
1999-12-01,0.04,5653
2000-01-01,0.04,5708
2000-02-01,0.040999999999999995,5858
2000-03-01,0.04,5733
2000-04-01,0.038,5481
2000-05-01,0.04,5758
2000-06-01,0.04,5651
2000-07-01,0.04,5747
2000-08-01,0.040999999999999995,5853
2000-09-01,0.039,5625
2000-10-01,0.039,5534
2000-11-01,0.039,5639
2000-12-01,0.039,5634
2001-01-01,0.042,6023
2001-02-01,0.042,6089
2001-03-01,0.043,6141
2001-04-01,0.044000000000000004,6271
2001-05-01,0.043,6226
2001-06-01,0.045,6484
2001-07-01,0.046,6583
2001-08-01,0.049,7042
2001-09-01,0.05,7142
2001-10-01,0.053,7694
2001-11-01,0.055,8003
2001-12-01,0.057,8258
2002-01-01,0.057,8182
2002-02-01,0.057,8215
2002-03-01,0.057,8304
2002-04-01,0.059000000000000004,8599
2002-05-01,0.057999999999999996,8399
2002-06-01,0.057999999999999996,8393
2002-07-01,0.057999999999999996,8390
2002-08-01,0.057,8304
2002-09-01,0.057,8251
2002-10-01,0.057,8307
2002-11-01,0.059000000000000004,8520
2002-12-01,0.06,8640
2003-01-01,0.057999999999999996,8520
2003-02-01,0.059000000000000004,8618
2003-03-01,0.059000000000000004,8588
2003-04-01,0.06,8842
2003-05-01,0.061,8957
2003-06-01,0.063,9266
2003-07-01,0.062,9011
2003-08-01,0.061,8896
2003-09-01,0.061,8921
2003-10-01,0.06,8732
2003-11-01,0.057999999999999996,8576
2003-12-01,0.057,8317
2004-01-01,0.057,8370
2004-02-01,0.055999999999999994,8167
2004-03-01,0.057999999999999996,8491
2004-04-01,0.055999999999999994,8170
2004-05-01,0.055999999999999994,8212
2004-06-01,0.055999999999999994,8286
2004-07-01,0.055,8136
2004-08-01,0.054000000000000006,7990
2004-09-01,0.054000000000000006,7927
2004-10-01,0.055,8061
2004-11-01,0.054000000000000006,7932
2004-12-01,0.054000000000000006,7934
2005-01-01,0.053,7784
2005-02-01,0.054000000000000006,7980
2005-03-01,0.052000000000000005,7737
2005-04-01,0.052000000000000005,7672
2005-05-01,0.051,7651
2005-06-01,0.05,7524
2005-07-01,0.05,7406
2005-08-01,0.049,7345
2005-09-01,0.05,7553
2005-10-01,0.05,7453
2005-11-01,0.05,7566
2005-12-01,0.049,7279
2006-01-01,0.047,7064
2006-02-01,0.048,7184
2006-03-01,0.047,7072
2006-04-01,0.047,7120
2006-05-01,0.046,6980
2006-06-01,0.046,7001
2006-07-01,0.047,7175
2006-08-01,0.047,7091
2006-09-01,0.045,6847
2006-10-01,0.044000000000000004,6727
2006-11-01,0.045,6872
2006-12-01,0.044000000000000004,6762
2007-01-01,0.046,7116
2007-02-01,0.045,6927
2007-03-01,0.044000000000000004,6731
2007-04-01,0.045,6850
2007-05-01,0.044000000000000004,6766
2007-06-01,0.046,6979
2007-07-01,0.047,7149
2007-08-01,0.046,7067
2007-09-01,0.047,7170
2007-10-01,0.047,7237
2007-11-01,0.047,7240
2007-12-01,0.05,7645
2008-01-01,0.05,7685
2008-02-01,0.049,7497
2008-03-01,0.051,7822
2008-04-01,0.05,7637
2008-05-01,0.054000000000000006,8395
2008-06-01,0.055999999999999994,8575
2008-07-01,0.057999999999999996,8937
2008-08-01,0.061,9438
2008-09-01,0.061,9494
2008-10-01,0.065,10074
2008-11-01,0.068,10538
2008-12-01,0.073,11286
2009-01-01,0.078,12058
2009-02-01,0.083,12898
2009-03-01,0.087,13426
2009-04-01,0.09,13853
2009-05-01,0.094,14499
2009-06-01,0.095,14707
2009-07-01,0.095,14601
2009-08-01,0.096,14814
2009-09-01,0.098,15009
2009-10-01,0.1,15352
2009-11-01,0.099,15219
2009-12-01,0.099,15098
2010-01-01,0.098,15046
2010-02-01,0.098,15113
2010-03-01,0.099,15202
2010-04-01,0.099,15325
2010-05-01,0.096,14849
2010-06-01,0.094,14474
2010-07-01,0.094,14512
2010-08-01,0.095,14648
2010-09-01,0.095,14579
2010-10-01,0.094,14516
2010-11-01,0.098,15081
2010-12-01,0.09300000000000001,14348
2011-01-01,0.091,14013
2011-02-01,0.09,13820
2011-03-01,0.09,13737
2011-04-01,0.091,13957
2011-05-01,0.09,13855
2011-06-01,0.091,13962
2011-07-01,0.09,13763
2011-08-01,0.09,13818
2011-09-01,0.09,13948
2011-10-01,0.08800000000000001,13594
2011-11-01,0.086,13302
2011-12-01,0.085,13093
2012-01-01,0.083,12797
2012-02-01,0.083,12813
2012-03-01,0.08199999999999999,12713
2012-04-01,0.08199999999999999,12646
2012-05-01,0.08199999999999999,12660
2012-06-01,0.08199999999999999,12692
2012-07-01,0.08199999999999999,12656
2012-08-01,0.081,12471
2012-09-01,0.078,12115
2012-10-01,0.078,12124
2012-11-01,0.077,12005
2012-12-01,0.079,12298
2013-01-01,0.08,12471
2013-02-01,0.077,11950
2013-03-01,0.075,11689
2013-04-01,0.076,11760
2013-05-01,0.075,11654
2013-06-01,0.075,11751
2013-07-01,0.073,11335
2013-08-01,0.07200000000000001,11279
2013-09-01,0.07200000000000001,11270
2013-10-01,0.07200000000000001,11136
2013-11-01,0.069,10787
2013-12-01,0.067,10404
2014-01-01,0.066,10202
2014-02-01,0.067,10349
2014-03-01,0.067,10380
2014-04-01,0.062,9702
2014-05-01,0.063,9859
2014-06-01,0.061,9460
2014-07-01,0.062,9608
2014-08-01,0.061,9599
2014-09-01,0.059000000000000004,9262
2014-10-01,0.057,8990
2014-11-01,0.057999999999999996,9090
2014-12-01,0.055999999999999994,8717
2015-01-01,0.057,8885
2015-02-01,0.055,8599
2015-03-01,0.054000000000000006,8515
2015-04-01,0.054000000000000006,8550
2015-05-01,0.055999999999999994,8834
2015-06-01,0.053,8247
2015-07-01,0.052000000000000005,8167
2015-08-01,0.051,7992
2015-09-01,0.05,7907
2015-10-01,0.05,7922
2015-11-01,0.051,8000
2015-12-01,0.05,7907
2016-01-01,0.048,7627
2016-02-01,0.049,7702
2016-03-01,0.05,7961
2016-04-01,0.051,8067
2016-05-01,0.048,7652
2016-06-01,0.049,7744
2016-07-01,0.048,7641
2016-08-01,0.049,7784
2016-09-01,0.05,7953
2016-10-01,0.049,7811
2016-11-01,0.047,7553
2016-12-01,0.047,7521
2017-01-01,0.047,7468
2017-02-01,0.046,7379
2017-03-01,0.044000000000000004,7073
2017-04-01,0.044000000000000004,7089
2017-05-01,0.044000000000000004,7000
2017-06-01,0.043,6873
2017-07-01,0.043,6892
2017-08-01,0.044000000000000004,7082
2017-09-01,0.043,6854
2017-10-01,0.042,6700
2017-11-01,0.042,6774
2017-12-01,0.040999999999999995,6632
2018-01-01,0.04,6489
2018-02-01,0.040999999999999995,6581
2018-03-01,0.04,6472
2018-04-01,0.04,6459
2018-05-01,0.038,6196
2018-06-01,0.04,6447
2018-07-01,0.038,6195
2018-08-01,0.038,6156
2018-09-01,0.037000000000000005,6073
2018-10-01,0.038,6211
2018-11-01,0.038,6115
2018-12-01,0.039,6389
2019-01-01,0.04,6439
2019-02-01,0.038,6115
2019-03-01,0.038,6182
2019-04-01,0.036000000000000004,5911
2019-05-01,0.037000000000000005,5941
2019-06-01,0.036000000000000004,5909
2019-07-01,0.037000000000000005,6008
2019-08-01,0.037000000000000005,5981
2019-09-01,0.035,5775
2019-10-01,0.036000000000000004,5957
2019-11-01,0.036000000000000004,5911
2019-12-01,0.036000000000000004,5870
2020-01-01,0.035,5804
2020-02-01,0.035,5708
2020-03-01,0.044000000000000004,7184
2020-04-01,0.147,23050
2020-05-01,0.132,20939
2020-06-01,0.11,17624
2020-07-01,0.102,16324
2020-08-01,0.084,13521
2020-09-01,0.079,12599
2020-10-01,0.069,11090
2020-11-01,0.067,10760
2020-12-01,0.067,10795
2021-01-01,0.063,10155
2021-02-01,0.062,9982
2021-03-01,0.061,9712
2021-04-01,0.061,9737
2021-05-01,0.057999999999999996,9257
2021-06-01,0.059000000000000004,9508
2021-07-01,0.054000000000000006,8704
2021-08-01,0.052000000000000005,8324
2021-09-01,0.048,7677
2021-10-01,0.045,7345
2021-11-01,0.042,6780
2021-12-01,0.039,6329
2022-01-01,0.04,6511
2022-02-01,0.038,6272
2022-03-01,0.036000000000000004,5972
2022-04-01,0.036000000000000004,5968
2022-05-01,0.036000000000000004,5979
2022-06-01,0.036000000000000004,5945
2022-07-01,0.035,5718
2022-08-01,0.037000000000000005,6021
2022-09-01,0.035,5770
2022-10-01,0.037000000000000005,6053
2022-11-01,0.036000000000000004,6000
2022-12-01,0.035,5722
