Country,ISO3,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,Human Capital Index,GDP per capita (PPP),Log GDP per capita,Population
Croatia,HRV,Europe & Central Asia,High income,0.99494,13.23691,482.88657,10.22708,,0.88432,0.6822,29106.58772,10.2787198096696,4047680.0
Cyprus,CYP,Europe & Central Asia,High income,0.99744,13.55704,503.81497,10.92838,,0.93646,0.74843,40611.70313,10.611811558485995,1237537.0
Czech Republic,CZE,Europe & Central Asia,High income,0.99624,13.52652,507.133,10.97559,,0.89812,0.73181,41608.02535,10.636048344710558,10697858.0
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,0.91134,8.51526,374.93652,5.10829,0.76681,0.6432,0.38248,5377.785528,8.59003195652449,26811790.0
Denmark,DNK,Europe & Central Asia,High income,0.99541,13.32221,513.29602,10.94118,,0.91556,0.73754,60229.91477,11.005924430961223,5831404.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,0.9618,12.19919,393.33582,7.67741,,0.82728,0.51814,10817.4239,9.288913437177138,71995.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,0.96846,11.65344,337.78839,6.29823,0.91902,0.80416,0.48376,17686.75904,9.78057156177666,10999664.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,0.98423,12.72626,418.89432,8.52953,0.74066,0.84095,0.57671,10924.18012,9.298733970923426,17588595.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,0.97757,11.37079,343.77826,6.25445,0.76381,0.81898,0.47598,12004.12593,9.393005697175008,107465134.0
El Salvador,SLV,Latin America & Caribbean,Lower middle income,0.98497,10.86438,432.90869,7.52525,0.84725,0.73453,0.524,8720.011997,9.073375892704831,6292731.0
Estonia,EST,Europe & Central Asia,High income,0.9971,13.44084,538.70801,11.5851,,0.85149,0.74599,37644.00382,10.535928959455669,1329522.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,0.94071,6.12459,,,0.70809,0.52645,,8744.438693,9.076173199343518,1180655.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,0.9389,8.09005,351.82593,4.55406,0.6031,0.76683,0.3815,2376.635601,7.77344115354681,117190911.0
Fiji,FJI,East Asia & Pacific,Upper middle income,0.97221,11.23993,367.87878,6.61589,0.909,0.74417,0.48763,11567.53537,9.355957778481256,920422.0
Finland,FIN,Europe & Central Asia,High income,0.99815,13.7486,520.13159,11.44173,,0.90515,0.76457,50937.16075,10.83834800983834,5529543.0
France,FRA,Europe & Central Asia,High income,0.99557,13.78246,507.09967,11.18253,,0.90125,0.74505,46858.21592,10.754881638780457,67571107.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,0.951,7.92793,457.92224,5.8086,0.80765,0.76378,0.44219,14664.71093,9.593199269659145,2292573.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,0.93716,9.20699,352.12494,5.18722,0.78429,0.72405,0.40763,2154.485618,7.675307281702909,2573995.0
Georgia,GEO,Europe & Central Asia,Upper middle income,0.9891,12.78028,390.66248,7.98844,,0.78057,0.52986,14731.20059,9.597723012584629,3722716.0
Germany,DEU,Europe & Central Asia,High income,0.99604,13.31761,514.25867,10.95791,,0.90969,0.73617,54844.54597,10.912258025390164,83160871.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,0.94757,12.015,308.39932,5.92867,0.80975,0.74786,0.44271,5551.786802,8.621875101233195,32180401.0
Greece,GRC,Europe & Central Asia,High income,0.99522,13.29149,459.81723,9.77865,,0.90789,0.66856,27953.76213,10.23830707167188,10698599.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,0.9835,12.94243,380.23611,7.87389,,0.82135,0.53614,13896.98274,9.539427026491136,123663.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,0.97117,9.73318,402.37921,6.26629,0.52703,0.8007,0.45157,8849.717743,9.088140844047041,16858333.0
Guinea,GIN,Sub-Saharan Africa,Low income,0.89459,7.81473,416.86679,5.21232,0.66157,0.7429,0.38404,2746.73328,7.918167586368507,13205153.0
Guyana,GUY,Latin America & Caribbean,Upper middle income,0.96603,12.10649,337.77081,6.54275,0.87458,0.73222,0.47698,19439.93098,9.875084527596604,797202.0
Haiti,HTI,Latin America & Caribbean,Low income,0.92966,11.329,333.4346,6.04397,0.75966,0.74545,0.43423,3121.145757,8.045955443198858,11306801.0
Honduras,HND,Latin America & Caribbean,Lower middle income,0.98052,9.36554,400.68414,6.0042,0.75718,0.83459,0.46981,5303.514499,8.576124992796789,10121763.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,0.99089,13.31267,540.55109,11.51388,,0.93884,0.78038,58949.46595,10.984435846552131,7481000.0
Hungary,HUN,Europe & Central Asia,High income,0.99539,12.95178,493.66364,10.23012,,0.83388,0.66057,33274.34766,10.412542038563252,9750149.0
Iceland,ISL,Europe & Central Asia,High income,0.99788,13.3792,487.65021,10.43899,,0.94387,0.72351,53616.68471,10.889615580523719,366463.0
India,IND,South Asia,Lower middle income,0.9642,11.04427,399.0,7.05066,0.64919,0.7986,0.48726,6448.870196,8.771660231036064,1396387127.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,0.97235,12.27481,387.66595,7.61364,0.71506,0.82422,0.52428,12146.40679,9.404788667581192,271857970.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,0.98498,11.88597,419.62521,7.98025,,0.91798,0.5768,15222.75974,9.63054693823747,87290193.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,0.97075,6.70174,353.08377,3.78604,0.87653,0.81553,0.39518,9408.295527,9.149347081953726,42556984.0
Ireland,IRL,Europe & Central Asia,High income,0.99601,13.88188,518.22046,11.5102,,0.93223,0.78081,93355.55516,11.444170656144113,4985382.0
Israel,ISR,Middle East & North Africa,High income,0.99601,13.62586,467.04822,10.18229,,0.93742,0.7045,39489.28078,10.583784541402762,9215100.0
Italy,ITA,Europe & Central Asia,High income,0.99673,13.18744,492.1821,10.385,,0.94073,0.71808,41995.35753,10.645314356156062,59438851.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,0.98392,11.21345,371.96689,6.67365,0.93008,0.8254,0.51097,9701.890533,9.180076045810155,2820436.0
Japan,JPN,East Asia & Pacific,High income,0.99738,,536.55029,,,0.93283,,42100.25769,10.647809140554353,126261000.0
Jordan,JOR,Middle East & North Africa,Upper middle income,0.98248,10.90586,414.96173,7.24082,,0.8772,0.52805,9707.404182,9.180644191044617,10928721.0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,0.98885,13.59117,410.76251,8.93239,0.92258,0.78123,0.60565,26750.44623,10.194306433680346,18755666.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,0.95531,11.89507,,,0.70116,0.73834,,4744.739268,8.46479176074609,51985780.0
Kiribati,KIR,East Asia & Pacific,Lower middle income,0.94283,10.63032,396.07498,6.73664,,0.76735,0.45302,2051.357672,7.626257131946871,126463.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,0.99657,13.60233,534.81897,11.63965,,0.92198,0.78412,45403.03259,10.723334178935174,51836239.0
Kosovo,XKX,Europe & Central Asia,Upper middle income,0.983,13.133,369.10217,7.75587,,0.878,0.55084,11292.86265,9.33192618124822,1790133.0
Kuwait,KWT,Middle East & North Africa,High income,0.99149,11.60225,368.77283,6.84575,,0.93149,0.53494,46328.07946,10.743503524065613,4360444.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,0.97894,12.86117,414.40762,8.52762,0.87467,0.79113,0.57754,4985.029555,8.514194611164722,6579900.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,0.94791,10.69113,362.56891,6.20203,0.66013,0.79765,0.44829,8189.14621,9.010564923549682,7319399.0
Latvia,LVA,Europe & Central Asia,High income,0.99584,13.52383,498.02728,10.77638,,0.77547,0.66456,31424.90221,10.355355921599987,1900449.0
Lebanon,LBN,Middle East & North Africa,Upper middle income,0.99223,,384.04169,,,0.92466,,14535.68092,9.584361658816919,5662923.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,0.91212,9.6782,,,0.63406,0.46019,,2417.728659,7.790583807756337,2254100.0
Liberia,LBR,Sub-Saharan Africa,Low income,0.92364,4.14812,335.38474,2.22595,0.67699,0.75532,0.31435,1459.614277,7.285927485961426,5087584.0
Lithuania,LTU,Europe & Central Asia,High income,0.99563,13.77959,488.11639,10.76167,,0.767,0.65998,38880.54527,10.568249282910191,2794885.0
Luxembourg,LUX,Europe & Central Asia,High income,0.99737,12.37328,488.54074,9.67176,,0.92842,0.67326,117846.1365,11.677135124627915,630419.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,0.99089,12.75975,557.32294,11.37808,,0.94247,0.77379,58179.5128,10.971288558002442,676283.0
Madagascar,MDG,Sub-Saharan Africa,Low income,0.94202,8.19264,349.65186,4.58331,0.55401,0.77114,0.38095,1514.861688,7.3230794187263175,28225177.0
Malawi,MWI,Sub-Saharan Africa,Low income,0.94571,9.54975,,,0.58644,0.68111,,1571.180296,7.359582396788368,19377061.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,0.9916,12.25629,438.86435,8.60616,0.793,0.84112,0.58996,27245.62042,10.212648068642673,33199993.0
Mali,MLI,Sub-Saharan Africa,Low income,0.89696,5.57593,307.30673,2.74163,0.7197,0.73984,0.31888,2240.140931,7.71429405849498,21224040.0
Malta,MLT,Middle East & North Africa,High income,0.9924,13.35013,461.02994,9.84769,,0.9375,0.68344,43711.5058,10.685366637046638,515332.0
"Marshall Islands, Rep.",MHL,East Asia & Pacific,Upper middle income,0.96335,9.11151,368.20667,5.36787,0.60749,0.66589,0.40453,6023.737797,8.703463242138007,43413.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,0.91857,7.52464,340.47769,4.09916,0.74468,0.78328,0.37083,5605.920294,8.631578513642921,4498604.0
Mauritius,MUS,Sub-Saharan Africa,High income,0.98299,12.15696,,,,0.81344,,21331.81412,9.967954858012924,1265740.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,0.98608,12.67476,431.9877,8.76054,0.89292,0.81666,0.59954,19165.35778,9.860859646046352,125998302.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,0.96614,11.76677,370.83823,6.98171,,0.82335,0.49104,3644.970925,8.20110366773056,112106.0
Moldova,MDA,Europe & Central Asia,Lower middle income,0.98246,11.80075,429.90527,8.11713,0.94176,0.76437,0.56251,12870.01602,9.462655545344642,2635130.0
Mongolia,MNG,East Asia & Pacific,Lower middle income,0.98069,13.12629,434.91425,9.13409,0.89094,0.71453,0.59401,12305.71791,9.417819304073292,3294335.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,0.99732,12.88796,431.92789,8.90667,0.89709,0.87663,0.62609,20107.69856,9.90885803365176,621306.0
Morocco,MAR,Middle East & North Africa,Lower middle income,0.97539,10.25297,374.9187,6.15045,0.82612,0.92894,0.4935,7959.256348,8.98209085085608,36688772.0
Mozambique,MOZ,Sub-Saharan Africa,Low income,0.92225,,365.14331,,0.53217,0.61661,,1300.510773,7.17051236859142,31178239.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,0.94949,9.93845,418.2121,6.65021,0.68893,0.75461,0.46123,5218.024537,8.559874168062008,53423198.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,0.95678,9.06975,,,0.74914,0.65636,,9543.712734,9.1636378642049,2489098.0
Nauru,NRU,East Asia & Pacific,High income,0.96491,11.9044,319.87552,6.09268,,0.91,0.48333,12613.06808,9.44248870467827,12315.0
Nepal,NPL,South Asia,Lower middle income,0.96566,12.28967,,,0.63768,0.83596,,3967.820179,8.285972149585543,29348627.0
Netherlands,NLD,Europe & Central Asia,High income,0.99576,13.82516,513.64014,11.36185,,0.93566,0.77314,59266.90858,10.989806395162779,17441500.0
New Zealand,NZL,East Asia & Pacific,High income,0.99375,13.61831,516.80908,11.26091,,0.92733,0.76122,44657.77372,10.706783674621839,5090200.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,0.97962,10.4328,391.88058,6.54146,0.81822,0.80167,0.48991,5465.507439,8.606212248816123,6755895.0
Niger,NER,Sub-Saharan Africa,Low income,0.91278,5.93645,307.09052,2.91684,0.49731,0.75191,0.31789,1281.061929,7.155444644990483,24333639.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,0.8733,10.277,309.55133,5.09001,0.60615,0.63888,0.35543,5131.526238,8.543158406197515,208327405.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,0.98948,11.05983,401.06784,7.09719,0.94389,0.88145,0.54269,16984.36046,9.740048226662351,2072531.0
Norway,NOR,Europe & Central Asia,High income,0.99721,13.66987,502.78485,10.9968,,0.93237,0.75036,62644.84574,11.045236686229499,5379475.0
Oman,OMN,Middle East & North Africa,High income,0.9875,12.56373,403.97516,8.12069,,0.90043,0.57815,34910.85327,10.460553041794078,4543399.0
Pakistan,PAK,South Asia,Lower middle income,0.92616,10.03974,334.58939,5.3747,0.61835,0.82802,0.41105,5278.418602,8.5713818246421,227196741.0
Palau,PLW,East Asia & Pacific,High income,0.98012,11.67972,447.78268,8.36796,,0.841,0.56302,16825.88544,9.730673779576943,17972.0
Panama,PAN,Latin America & Caribbean,High income,0.98315,10.61649,375.87527,6.38476,,0.85354,0.48586,26907.35892,10.200155093976887,4294396.0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,0.94816,10.7857,359.14441,6.1978,0.49084,0.75125,0.42875,3946.507514,8.280586293112183,9749640.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,0.97781,11.34987,388.32864,7.05197,0.93299,0.83682,0.52563,14046.65222,9.550139370213035,6618695.0
Peru,PER,Latin America & Caribbean,Upper middle income,0.98432,13.12879,418.38531,8.78863,0.87586,0.85576,0.60573,11789.02928,9.374924655960262,33304756.0
Philippines,PHL,East Asia & Pacific,Lower middle income,0.96866,12.75168,354.10443,7.22468,0.68893,0.7663,0.49456,8198.967501,9.011763510812251,112190977.0
Poland,POL,Europe & Central Asia,High income,0.99515,13.36938,524.81439,11.22631,,0.84916,0.72236,34449.32341,10.447244636481162,37899070.0
Portugal,PRT,Europe & Central Asia,High income,0.99589,13.97014,506.96417,11.33178,,0.90456,0.75587,34177.08571,10.439310690015175,10297081.0
Qatar,QAT,Middle East & North Africa,High income,0.99267,12.71344,405.82422,8.25508,,0.95916,0.61042,93894.25275,11.449924457252898,2760385.0
Romania,ROU,Europe & Central Asia,High income,0.992,11.75212,437.47418,8.226,,0.83,0.55938,32680.99374,10.394548956712354,19265250.0
Russian Federation,RUS,Europe & Central Asia,Upper middle income,0.9921,13.69396,494.02936,10.82435,,0.71554,0.63911,29936.92969,10.30684810395094,144073139.0
Rwanda,RWA,Sub-Saharan Africa,Low income,0.9616,6.63995,351.39249,3.73316,0.57044,0.7869,0.36621,2180.877349,7.687482528490103,13146362.0
Samoa,WSM,East Asia & Pacific,Upper middle income,0.98276,11.86019,354.36078,6.72446,0.94369,0.86287,0.51999,6394.375803,8.763174102212318,214929.0
Saudi Arabia,SAU,Middle East & North Africa,High income,0.99261,12.36915,383.10602,7.58191,,0.90929,0.55985,45240.67609,10.719751874636515,35997107.0
Senegal,SEN,Sub-Saharan Africa,Lower middle income,0.95249,6.79901,417.19922,4.53847,0.79294,0.78676,0.40208,3569.209139,8.180099320540482,16436120.0
Serbia,SRB,Europe & Central Asia,Upper middle income,0.99393,13.27141,451.17279,9.58031,0.93221,0.85984,0.65891,19173.19609,9.86126854566921,6899126.0
Seychelles,SYC,Sub-Saharan Africa,High income,0.98437,12.73827,,,,0.79956,,28351.85683,10.252447803660116,98462.0
Sierra Leone,SLE,Sub-Saharan Africa,Low income,0.88907,9.48503,317.8432,4.8236,0.67952,0.61147,0.35555,1673.065019,7.422412563949521,8233970.0
Singapore,SGP,East Asia & Pacific,High income,0.99698,13.92994,572.79358,12.76637,,0.94109,0.86921,99681.29415,11.509733316982748,5685807.0
Slovak Republic,SVK,Europe & Central Asia,High income,0.99389,12.59521,479.38388,9.66071,,0.858,0.64021,31356.45828,10.353175530586425,5458827.0
Slovenia,SVN,Europe & Central Asia,High income,0.99769,13.5785,512.45905,11.13348,,0.91387,0.74987,39725.25919,10.589742515990302,2102419.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,0.97818,8.20022,339.34738,4.45235,0.66284,0.83811,0.40772,2604.354881,7.864940277068886,691191.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,0.9633,10.23164,327.78519,5.36605,0.70235,0.62786,0.40609,13517.78059,9.511761178577252,58801927.0
South Sudan,SSD,Sub-Saharan Africa,Low income,0.89701,5.41192,,,0.66601,0.6523,,,,10606227.0
Spain,ESP,Europe & Central Asia,High income,0.99671,12.86438,508.91211,10.47494,,0.92732,0.71695,37754.56863,10.538861770665699,47365655.0
Sri Lanka,LKA,South Asia,Lower middle income,0.99192,13.18344,,,0.82525,0.85081,,13812.95748,9.533362378435612,21919000.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,0.98692,13.27533,403.51193,8.57081,,0.834,0.57357,28162.94691,10.24576245358929,47642.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,0.98175,12.51943,409.26691,8.19806,0.95994,0.82653,0.57918,12289.2503,9.416480199885786,179237.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,0.98208,11.76285,385.77585,7.26052,,0.7944,0.50085,14211.48403,9.561805651246853,104632.0
Sudan,SDN,Sub-Saharan Africa,Low income,0.93453,7.21348,371.28571,4.28522,0.59681,0.75732,0.37009,4087.006104,8.315567977079189,44440486.0
Sweden,SWE,Europe & Central Asia,High income,0.99705,13.95863,512.09436,11.43702,,0.93899,0.7805,55064.88501,10.916267496337534,10353442.0
Switzerland,CHE,Europe & Central Asia,High income,0.99554,13.31041,511.42609,10.89166,,0.94281,0.74791,71731.96058,11.180691681522633,8638167.0
Tajikistan,TJK,Europe & Central Asia,Low income,0.9612,11.26072,,,0.8215,0.83717,,3851.942913,8.25633295271474,9543207.0
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,0.94326,7.09998,381.86368,4.33796,0.66176,0.75362,0.37891,2690.924561,7.897640116517525,61704518.0
Thailand,THA,East Asia & Pacific,Upper middle income,0.98997,12.76941,413.00793,8.43819,0.88486,0.81548,0.58554,17771.30717,9.785340478938473,71475664.0
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,0.95031,10.28906,365.52811,6.0175,0.52,0.83274,0.43719,5122.48822,8.54139558045204,1299995.0
Togo,TGO,Sub-Saharan Africa,Low income,0.9247,10.07532,384.23956,6.19414,0.75631,0.72578,0.43409,2180.16961,7.687157955508951,8442580.0
Tonga,TON,East Asia & Pacific,Upper middle income,0.98599,11.3146,374.78497,6.78487,0.919,0.78772,0.50933,6705.102442,8.810624074047983,105254.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,0.98006,,444.82324,,,0.81475,,24672.3557,10.113438693412178,1518147.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,0.98158,9.97263,381.46213,6.08669,0.91958,0.89497,0.49664,10571.90084,9.265954896187191,12161723.0
Turkey,TUR,Europe & Central Asia,Upper middle income,0.98879,12.13585,473.35638,9.19133,0.93334,0.88294,0.64035,27308.57698,10.214956106921967,84135428.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,0.97325,10.60347,332.22629,5.6364,,0.76,0.42619,5104.660032,8.537909133278374,11069.0
Uganda,UGA,Sub-Saharan Africa,Low income,0.94892,,,,0.69061,0.7018,,2363.192032,7.767768540072041,44404611.0
Ukraine,UKR,Europe & Central Asia,Lower middle income,0.99041,12.81332,474.33807,9.72456,,0.7291,0.58948,13087.30957,9.479398304547622,44132049.0
United Arab Emirates,ARE,Middle East & North Africa,High income,0.99166,13.72001,432.24313,9.48861,,0.93138,0.66095,71374.18105,11.175691472987056,9287289.0
United Kingdom,GBR,Europe & Central Asia,High income,0.99535,13.85888,519.54047,11.5204,,0.91966,0.77455,46526.91187,10.747786174056792,67081000.0
United States,USA,North America,High income,0.99289,12.84923,509.55945,10.47592,,0.86165,0.68429,63027.67953,11.05132926650342,331501080.0
Uruguay,URY,Latin America & Caribbean,High income,0.99166,11.90737,435.83121,8.30337,,0.86238,0.57468,23024.09891,10.044296725069971,3429086.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,0.97569,12.06156,474.54877,9.15808,0.8853,0.83114,0.61449,7746.430969,8.9549874961464,34232050.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,0.97153,10.09369,340.0163,5.49123,0.66848,0.84964,0.44213,2992.173313,8.003755262884667,311685.0
Vietnam,VNM,East Asia & Pacific,Lower middle income,0.9759,12.54727,513.80371,10.31493,0.7516,0.81253,0.65478,11022.957,9.307735377021297,96648685.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,0.97804,11.88833,399.37241,7.59659,0.91876,0.87523,0.55472,5698.412057,8.647942828518989,4803269.0
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,0.94091,8.81499,320.71368,4.52334,0.52479,0.78076,0.37795,,,32284046.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,0.93744,8.78571,,,0.61698,0.68277,,3358.005322,8.119102422508178,18927715.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,0.94937,11.13667,,,0.73331,0.63077,,2099.320459,7.649368980392284,15669666.0
