Country,ISO3,Year,Rank,Index,Value,Human Development 2021,Region,Sources
Singapore,SGP,2022,165,Fragile States,25.8,Very high,East Asia & Pacific,
Belgium,BEL,2021,13,Human Development,0.937,Very high,Europe & Central Asia,
Belgium,BEL,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,
Belgium,BEL,2022,22,Global Peace,1.526,Very high,Europe & Central Asia,
Belgium,BEL,2022,160,Fragile States,31.9,Very high,Europe & Central Asia,
New Zealand,NZL,2021,13,Human Development,0.937,Very high,East Asia & Pacific,
New Zealand,NZL,2023,6,Passport Access,188.0,Very high,East Asia & Pacific,
New Zealand,NZL,2022,2,Global Peace,1.269,Very high,East Asia & Pacific,
New Zealand,NZL,2022,176,Fragile States,17.5,Very high,East Asia & Pacific,
Canada,CAN,2021,15,Human Development,0.936,Very high,North America,
Canada,CAN,2023,8,Passport Access,186.0,Very high,North America,
Canada,CAN,2022,12,Global Peace,1.389,Very high,North America,
Canada,CAN,2022,172,Fragile States,20.1,Very high,North America,
Liechtenstein,LIE,2021,16,Human Development,0.935,Very high,Europe & Central Asia,
Liechtenstein,LIE,2023,12,Passport Access,180.0,Very high,Europe & Central Asia,
Luxembourg,LUX,2021,17,Human Development,0.93,Very high,Europe & Central Asia,
Luxembourg,LUX,2023,4,Passport Access,190.0,Very high,Europe & Central Asia,
Luxembourg,LUX,2022,173,Fragile States,20.0,Very high,Europe & Central Asia,
United Kingdom,GBR,2021,18,Human Development,0.929,Very high,Europe & Central Asia,
United Kingdom,GBR,2023,5,Passport Access,189.0,Very high,Europe & Central Asia,
United Kingdom,GBR,2022,34,Global Peace,1.667,Very high,Europe & Central Asia,
United Kingdom,GBR,2022,150,Fragile States,40.6,Very high,Europe & Central Asia,
Japan,JPN,2021,19,Human Development,0.925,Very high,East Asia & Pacific,
Japan,JPN,2023,1,Passport Access,193.0,Very high,East Asia & Pacific,
Japan,JPN,2022,10,Global Peace,1.336,Very high,East Asia & Pacific,
Japan,JPN,2022,161,Fragile States,31.0,Very high,East Asia & Pacific,
Korea (Republic of),KOR,2021,19,Human Development,0.925,Very high,East Asia & Pacific,
South Korea,KOR,2023,2,Passport Access,192.0,Very high,East Asia & Pacific,
South Korea,KOR,2022,43,Global Peace,1.779,Very high,East Asia & Pacific,
South Korea,KOR,2022,159,Fragile States,32.7,Very high,East Asia & Pacific,
United States,USA,2021,21,Human Development,0.921,Very high,North America,
United States,USA,2023,7,Passport Access,187.0,Very high,North America,
United States of America,USA,2022,129,Global Peace,2.44,Very high,North America,
United States,USA,2022,140,Fragile States,46.6,Very high,North America,
Israel,ISR,2021,22,Human Development,0.919,Very high,Middle East & North Africa,
Israel,ISR,2023,22,Passport Access,160.0,Very high,Middle East & North Africa,
Israel,ISR,2022,134,Global Peace,2.576,Very high,Middle East & North Africa,
Israel,ISR,2022,146,Fragile States,42.6,Very high,Middle East & North Africa,
Malta,MLT,2021,23,Human Development,0.918,Very high,Middle East & North Africa,
Malta,MLT,2023,8,Passport Access,186.0,Very high,Middle East & North Africa,
Malta,MLT,2022,158,Fragile States,34.7,Very high,Middle East & North Africa,
Slovenia,SVN,2021,23,Human Development,0.918,Very high,Europe & Central Asia,
Slovenia,SVN,2023,10,Passport Access,183.0,Very high,Europe & Central Asia,
Slovenia,SVN,2022,7,Global Peace,1.316,Very high,Europe & Central Asia,
Slovenia,SVN,2022,163,Fragile States,27.7,Very high,Europe & Central Asia,
Austria,AUT,2021,25,Human Development,0.916,Very high,Europe & Central Asia,
Austria,AUT,2023,4,Passport Access,190.0,Very high,Europe & Central Asia,
Austria,AUT,2022,5,Global Peace,1.3,Very high,Europe & Central Asia,
Austria,AUT,2022,166,Fragile States,25.4,Very high,Europe & Central Asia,
United Arab Emirates,ARE,2021,26,Human Development,0.911,Very high,Middle East & North Africa,
United Arab Emirates,ARE,2023,13,Passport Access,178.0,Very high,Middle East & North Africa,
United Arab Emirates,ARE,2022,60,Global Peace,1.865,Very high,Middle East & North Africa,
United Arab Emirates,ARE,2022,152,Fragile States,39.1,Very high,Middle East & North Africa,
Spain,ESP,2021,27,Human Development,0.905,Very high,Europe & Central Asia,
Spain,ESP,2023,3,Passport Access,191.0,Very high,Europe & Central Asia,
Spain,ESP,2022,29,Global Peace,1.603,Very high,Europe & Central Asia,
Spain,ESP,2022,142,Fragile States,44.4,Very high,Europe & Central Asia,
France,FRA,2021,28,Human Development,0.903,Very high,Europe & Central Asia,
France,FRA,2023,5,Passport Access,189.0,Very high,Europe & Central Asia,
France,FRA,2022,65,Global Peace,1.895,Very high,Europe & Central Asia,
France,FRA,2022,162,Fragile States,30.9,Very high,Europe & Central Asia,
Cyprus,CYP,2021,29,Human Development,0.896,Very high,Europe & Central Asia,
Cyprus,CYP,2023,13,Passport Access,178.0,Very high,Europe & Central Asia,
Cyprus,CYP,2022,67,Global Peace,1.903,Very high,Europe & Central Asia,
Cyprus,CYP,2022,120,Fragile States,56.9,Very high,Europe & Central Asia,
Italy,ITA,2021,30,Human Development,0.895,Very high,Europe & Central Asia,
Italy,ITA,2023,3,Passport Access,191.0,Very high,Europe & Central Asia,
Italy,ITA,2022,32,Global Peace,1.643,Very high,Europe & Central Asia,
Italy,ITA,2022,143,Fragile States,43.4,Very high,Europe & Central Asia,
Estonia,EST,2021,31,Human Development,0.89,Very high,Europe & Central Asia,
Estonia,EST,2023,11,Passport Access,182.0,Very high,Europe & Central Asia,
Estonia,EST,2022,33,Global Peace,1.662,Very high,Europe & Central Asia,
Estonia,EST,2022,155,Fragile States,37.7,Very high,Europe & Central Asia,
Czechia,CZE,2021,32,Human Development,0.889,Very high,Europe & Central Asia,
Czech Republic,CZE,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,
Czech Republic,CZE,2022,8,Global Peace,1.318,Very high,Europe & Central Asia,
Czechia,CZE,2022,151,Fragile States,39.9,Very high,Europe & Central Asia,
Greece,GRC,2021,33,Human Development,0.887,Very high,Europe & Central Asia,
Greece,GRC,2023,8,Passport Access,186.0,Very high,Europe & Central Asia,
Greece,GRC,2022,53,Global Peace,1.838,Very high,Europe & Central Asia,
Greece,GRC,2022,124,Fragile States,55.8,Very high,Europe & Central Asia,
Poland,POL,2021,34,Human Development,0.876,Very high,Europe & Central Asia,
Poland,POL,2023,8,Passport Access,186.0,Very high,Europe & Central Asia,
Poland,POL,2022,25,Global Peace,1.552,Very high,Europe & Central Asia,
Poland,POL,2022,148,Fragile States,42.2,Very high,Europe & Central Asia,
Bahrain,BHR,2021,35,Human Development,0.875,Very high,Middle East & North Africa,
Bahrain,BHR,2023,60,Passport Access,87.0,Very high,Middle East & North Africa,
Bahrain,BHR,2022,99,Global Peace,2.085,Very high,Middle East & North Africa,
Bahrain,BHR,2022,100,Fragile States,66.6,Very high,Middle East & North Africa,
Lithuania,LTU,2021,35,Human Development,0.875,Very high,Europe & Central Asia,
Lithuania,LTU,2023,9,Passport Access,184.0,Very high,Europe & Central Asia,
Lithuania,LTU,2022,37,Global Peace,1.724,Very high,Europe & Central Asia,
Lithuania,LTU,2022,153,Fragile States,38.6,Very high,Europe & Central Asia,
Saudi Arabia,SAU,2021,35,Human Development,0.875,Very high,Middle East & North Africa,
Saudi Arabia,SAU,2023,62,Passport Access,82.0,Very high,Middle East & North Africa,
Saudi Arabia,SAU,2022,119,Global Peace,2.288,Very high,Middle East & North Africa,
Saudi Arabia,SAU,2022,95,Fragile States,67.5,Very high,Middle East & North Africa,
Portugal,PRT,2021,38,Human Development,0.866,Very high,Europe & Central Asia,
Portugal,PRT,2023,6,Passport Access,188.0,Very high,Europe & Central Asia,
Portugal,PRT,2022,6,Global Peace,1.301,Very high,Europe & Central Asia,
Portugal,PRT,2022,164,Fragile States,27.5,Very high,Europe & Central Asia,
Latvia,LVA,2021,39,Human Development,0.863,Very high,Europe & Central Asia,
Latvia,LVA,2023,10,Passport Access,183.0,Very high,Europe & Central Asia,
Latvia,LVA,2022,35,Global Peace,1.673,Very high,Europe & Central Asia,
Latvia,LVA,2022,145,Fragile States,42.8,Very high,Europe & Central Asia,
Andorra,AND,2021,40,Human Development,0.858,Very high,Europe & Central Asia,
Andorra,AND,2023,19,Passport Access,169.0,Very high,Europe & Central Asia,
Croatia,HRV,2021,40,Human Development,0.858,Very high,Europe & Central Asia,
Croatia,HRV,2023,15,Passport Access,175.0,Very high,Europe & Central Asia,
Croatia,HRV,2022,15,Global Peace,1.44,Very high,Europe & Central Asia,
Croatia,HRV,2022,137,Fragile States,49.3,Very high,Europe & Central Asia,
Chile,CHL,2021,42,Human Development,0.855,Very high,Latin America & Caribbean,
Chile,CHL,2023,15,Passport Access,175.0,Very high,Latin America & Caribbean,
Chile,CHL,2022,55,Global Peace,1.84,Very high,Latin America & Caribbean,
Chile,CHL,2022,144,Fragile States,43.2,Very high,Latin America & Caribbean,
Qatar,QAT,2021,42,Human Development,0.855,Very high,Middle East & North Africa,
Qatar,QAT,2023,54,Passport Access,101.0,Very high,Middle East & North Africa,
Qatar,QAT,2022,23,Global Peace,1.533,Very high,Middle East & North Africa,
Qatar,QAT,2022,147,Fragile States,42.3,Very high,Middle East & North Africa,
San Marino,SMR,2021,44,Human Development,0.853,Very high,Europe & Central Asia,
San Marino,SMR,2023,18,Passport Access,170.0,Very high,Europe & Central Asia,
Slovakia,SVK,2021,45,Human Development,0.848,Very high,Europe & Central Asia,
Slovakia,SVK,2023,9,Passport Access,184.0,Very high,Europe & Central Asia,
Slovakia,SVK,2022,20,Global Peace,1.499,Very high,Europe & Central Asia,
Slovakia,SVK,2022,156,Fragile States,37.1,Very high,Europe & Central Asia,
Hungary,HUN,2021,46,Human Development,0.846,Very high,Europe & Central Asia,
Hungary,HUN,2023,8,Passport Access,186.0,Very high,Europe & Central Asia,
Hungary,HUN,2022,13,Global Peace,1.411,Very high,Europe & Central Asia,
Hungary,HUN,2022,133,Fragile States,50.8,Very high,Europe & Central Asia,
Argentina,ARG,2021,47,Human Development,0.842,Very high,Latin America & Caribbean,
Argentina,ARG,2023,17,Passport Access,171.0,Very high,Latin America & Caribbean,
Argentina,ARG,2022,69,Global Peace,1.911,Very high,Latin America & Caribbean,
Argentina,ARG,2022,138,Fragile States,47.9,Very high,Latin America & Caribbean,
Türkiye,TUR,2021,48,Human Development,0.838,Very high,Europe & Central Asia,
Türkiye,TUR,2023,51,Passport Access,111.0,Very high,Europe & Central Asia,
Türkiye,TUR,2022,145,Global Peace,2.785,Very high,Europe & Central Asia,
Turkey,TUR,2022,62,Fragile States,78.1,Very high,Europe & Central Asia,
Montenegro,MNE,2021,49,Human Development,0.832,Very high,Europe & Central Asia,
Montenegro,MNE,2023,43,Passport Access,124.0,Very high,Europe & Central Asia,
Montenegro,MNE,2022,48,Global Peace,1.801,Very high,Europe & Central Asia,
Montenegro,MNE,2022,119,Fragile States,57.9,Very high,Europe & Central Asia,
Kuwait,KWT,2021,50,Human Development,0.831,Very high,Middle East & North Africa,
Kuwait,KWT,2023,55,Passport Access,97.0,Very high,Middle East & North Africa,
Kuwait,KWT,2022,39,Global Peace,1.739,Very high,Middle East & North Africa,
Kuwait,KWT,2022,130,Fragile States,52.2,Very high,Middle East & North Africa,
Brunei Darussalam,BRN,2021,51,Human Development,0.829,Very high,East Asia & Pacific,
Brunei,BRN,2023,20,Passport Access,167.0,Very high,East Asia & Pacific,
Brunei Darussalam,BRN,2022,125,Fragile States,55.1,Very high,East Asia & Pacific,
Russian Federation,RUS,2021,52,Human Development,0.822,Very high,Europe & Central Asia,
Russian Federation,RUS,2023,48,Passport Access,118.0,Very high,Europe & Central Asia,
Russia,RUS,2022,160,Global Peace,3.275,Very high,Europe & Central Asia,
Russia,RUS,2022,75,Fragile States,72.6,Very high,Europe & Central Asia,
Romania,ROU,2021,53,Human Development,0.821,Very high,Europe & Central Asia,
Romania,ROU,2023,14,Passport Access,176.0,Very high,Europe & Central Asia,
Romania,ROU,2022,31,Global Peace,1.64,Very high,Europe & Central Asia,
Romania,ROU,2022,133,Fragile States,50.8,Very high,Europe & Central Asia,
Oman,OMN,2021,54,Human Development,0.816,Very high,Middle East & North Africa,
Oman,OMN,2023,62,Passport Access,82.0,Very high,Middle East & North Africa,
Oman,OMN,2022,64,Global Peace,1.889,Very high,Middle East & North Africa,
Oman,OMN,2022,136,Fragile States,49.5,Very high,Middle East & North Africa,
Bahamas,BHS,2021,55,Human Development,0.812,Very high,Latin America & Caribbean,
Bahamas,BHS,2023,24,Passport Access,155.0,Very high,Latin America & Caribbean,
Bahamas,BHS,2022,135,Fragile States,50.6,Very high,Latin America & Caribbean,
Kazakhstan,KAZ,2021,56,Human Development,0.811,Very high,Europe & Central Asia,
Kazakhstan,KAZ,2023,67,Passport Access,75.0,Very high,Europe & Central Asia,
Kazakhstan,KAZ,2022,97,Global Peace,2.071,Very high,Europe & Central Asia,
Kazakhstan,KAZ,2022,118,Fragile States,59.5,Very high,Europe & Central Asia,
Trinidad and Tobago,TTO,2021,57,Human Development,0.81,Very high,Latin America & Caribbean,
Trinidad and Tobago,TTO,2023,28,Passport Access,150.0,Very high,Latin America & Caribbean,
Trinidad and Tobago,TTO,2022,88,Global Peace,2.005,Very high,Latin America & Caribbean,
Trinidad and Tobago,TTO,2022,129,Fragile States,52.4,Very high,Latin America & Caribbean,
Costa Rica,CRI,2021,58,Human Development,0.809,Very high,Latin America & Caribbean,
Costa Rica,CRI,2023,28,Passport Access,150.0,Very high,Latin America & Caribbean,
Costa Rica,CRI,2022,38,Global Peace,1.732,Very high,Latin America & Caribbean,
Costa Rica,CRI,2022,149,Fragile States,41.0,Very high,Latin America & Caribbean,
Uruguay,URY,2021,58,Human Development,0.809,Very high,Latin America & Caribbean,
Uruguay,URY,2023,26,Passport Access,153.0,Very high,Latin America & Caribbean,
Uruguay,URY,2022,46,Global Peace,1.795,Very high,Latin America & Caribbean,
Uruguay,URY,2022,157,Fragile States,35.2,Very high,Latin America & Caribbean,
Belarus,BLR,2021,60,Human Development,0.808,Very high,Europe & Central Asia,
Belarus,BLR,2023,64,Passport Access,79.0,Very high,Europe & Central Asia,
Belarus,BLR,2022,116,Global Peace,2.259,Very high,Europe & Central Asia,
Belarus,BLR,2022,91,Fragile States,68.7,Very high,Europe & Central Asia,
Panama,PAN,2021,61,Human Development,0.805,Very high,Latin America & Caribbean,
Panama,PAN,2023,32,Passport Access,143.0,Very high,Latin America & Caribbean,
Panama,PAN,2022,61,Global Peace,1.876,Very high,Latin America & Caribbean,
Panama,PAN,2022,139,Fragile States,47.5,Very high,Latin America & Caribbean,
Malaysia,MYS,2021,62,Human Development,0.803,Very high,East Asia & Pacific,
Malaysia,MYS,2023,12,Passport Access,180.0,Very high,East Asia & Pacific,
Malaysia,MYS,2022,18,Global Peace,1.471,Very high,East Asia & Pacific,
Malaysia,MYS,2022,122,Fragile States,56.4,Very high,East Asia & Pacific,
Georgia,GEO,2021,63,Human Development,0.802,Very high,Europe & Central Asia,
Georgia,GEO,2023,50,Passport Access,115.0,Very high,Europe & Central Asia,
Georgia,GEO,2022,95,Global Peace,2.065,Very high,Europe & Central Asia,
Georgia,GEO,2022,80,Fragile States,71.8,Very high,Europe & Central Asia,
Mauritius,MUS,2021,63,Human Development,0.802,Very high,Sub-Saharan Africa,
Mauritius,MUS,2023,29,Passport Access,146.0,Very high,Sub-Saharan Africa,
Mauritius,MUS,2022,28,Global Peace,1.57,Very high,Sub-Saharan Africa,
Mauritius,MUS,2022,154,Fragile States,37.9,Very high,Sub-Saharan Africa,
Serbia,SRB,2021,63,Human Development,0.802,Very high,Europe & Central Asia,
Serbia,SRB,2023,34,Passport Access,138.0,Very high,Europe & Central Asia,
Serbia,SRB,2022,52,Global Peace,1.832,Very high,Europe & Central Asia,
Serbia,SRB,2022,94,Fragile States,67.8,Very high,Europe & Central Asia,
Thailand,THA,2021,66,Human Development,0.8,Very high,East Asia & Pacific,
Thailand,THA,2023,64,Passport Access,79.0,Very high,East Asia & Pacific,
Thailand,THA,2022,103,Global Peace,2.098,Very high,East Asia & Pacific,
Thailand,THA,2022,86,Fragile States,70.0,Very high,East Asia & Pacific,
Albania,ALB,2021,67,Human Development,0.796,High,Europe & Central Asia,
Albania,ALB,2023,49,Passport Access,116.0,High,Europe & Central Asia,
Albania,ALB,2022,41,Global Peace,1.761,High,Europe & Central Asia,
Albania,ALB,2022,121,Fragile States,56.7,High,Europe & Central Asia,
Bulgaria,BGR,2021,68,Human Development,0.795,High,Europe & Central Asia,
Bulgaria,BGR,2023,14,Passport Access,176.0,High,Europe & Central Asia,
Bulgaria,BGR,2022,24,Global Peace,1.541,High,Europe & Central Asia,
Bulgaria,BGR,2022,131,Fragile States,51.6,High,Europe & Central Asia,
Grenada,GRD,2021,68,Human Development,0.795,High,Latin America & Caribbean,
Grenada,GRD,2023,30,Passport Access,145.0,High,Latin America & Caribbean,
Grenada,GRD,2022,126,Fragile States,54.3,High,Latin America & Caribbean,
Barbados,BRB,2021,70,Human Development,0.79,High,Latin America & Caribbean,
Barbados,BRB,2023,21,Passport Access,162.0,High,Latin America & Caribbean,
Barbados,BRB,2022,141,Fragile States,45.9,High,Latin America & Caribbean,
Antigua and Barbuda,ATG,2021,71,Human Development,0.788,High,Latin America & Caribbean,
Antigua and Barbuda,ATG,2023,28,Passport Access,150.0,High,Latin America & Caribbean,
Antigua and Barbuda,ATG,2022,127,Fragile States,54.2,High,Latin America & Caribbean,
Seychelles,SYC,2021,72,Human Development,0.785,High,Sub-Saharan Africa,
Seychelles,SYC,2023,26,Passport Access,153.0,High,Sub-Saharan Africa,
Seychelles,SYC,2022,127,Fragile States,54.2,High,Sub-Saharan Africa,
Sri Lanka,LKA,2021,73,Human Development,0.782,High,South Asia,
Sri Lanka,LKA,2023,99,Passport Access,41.0,High,South Asia,
Sri Lanka,LKA,2022,90,Global Peace,2.02,High,South Asia,
Sri Lanka,LKA,2022,56,Fragile States,79.3,High,South Asia,
Bosnia and Herzegovina,BIH,2021,74,Human Development,0.78,High,Europe & Central Asia,
Bosnia and Herzegovina,BIH,2023,48,Passport Access,118.0,High,Europe & Central Asia,
Bosnia and Herzegovina,BIH,2022,58,Global Peace,1.85,High,Europe & Central Asia,
Bosnia and Herzegovina,BIH,2022,74,Fragile States,73.0,High,Europe & Central Asia,
Saint Kitts and Nevis,KNA,2021,75,Human Development,0.777,High,Latin America & Caribbean,
St. Kitts and Nevis,KNA,2023,23,Passport Access,156.0,High,Latin America & Caribbean,
Iran (Islamic Republic of),IRN,2021,76,Human Development,0.774,High,Middle East & North Africa,
Iran,IRN,2023,97,Passport Access,44.0,High,Middle East & North Africa,
Iran,IRN,2022,141,Global Peace,2.687,High,Middle East & North Africa,
Iran,IRN,2022,39,Fragile States,84.1,High,Middle East & North Africa,
Ukraine,UKR,2021,77,Human Development,0.773,High,Europe & Central Asia,
Ukraine,UKR,2023,31,Passport Access,144.0,High,Europe & Central Asia,
Ukraine,UKR,2022,153,Global Peace,2.971,High,Europe & Central Asia,
Ukraine,UKR,2022,92,Fragile States,68.6,High,Europe & Central Asia,
North Macedonia,MKD,2021,78,Human Development,0.77,High,Europe & Central Asia,
North Macedonia,MKD,2023,42,Passport Access,125.0,High,Europe & Central Asia,
North Macedonia,MKD,2022,36,Global Peace,1.704,High,Europe & Central Asia,
North Macedonia,MKD,2022,111,Fragile States,62.6,High,Europe & Central Asia,
China,CHN,2021,79,Human Development,0.768,High,East Asia & Pacific,
China,CHN,2023,63,Passport Access,81.0,High,East Asia & Pacific,
China,CHN,2022,89,Global Peace,2.01,High,East Asia & Pacific,
China,CHN,2022,98,Fragile States,66.9,High,East Asia & Pacific,
Dominican Republic,DOM,2021,80,Human Development,0.767,High,Latin America & Caribbean,
Dominican Republic,DOM,2023,72,Passport Access,70.0,High,Latin America & Caribbean,
Dominican Republic,DOM,2022,81,Global Peace,1.99,High,Latin America & Caribbean,
Dominican Republic,DOM,2022,110,Fragile States,62.8,High,Latin America & Caribbean,
Moldova (Republic of),MDA,2021,80,Human Development,0.767,High,Europe & Central Asia,
Moldova,MDA,2023,46,Passport Access,120.0,High,Europe & Central Asia,
Moldova,MDA,2022,62,Global Peace,1.882,High,Europe & Central Asia,
Moldova,MDA,2022,105,Fragile States,64.5,High,Europe & Central Asia,
Palau,PLW,2021,80,Human Development,0.767,High,East Asia & Pacific,
Palau Islands,PLW,2023,47,Passport Access,119.0,High,East Asia & Pacific,
Cuba,CUB,2021,83,Human Development,0.764,High,Latin America & Caribbean,
Cuba,CUB,2023,78,Passport Access,64.0,High,Latin America & Caribbean,
Cuba,CUB,2022,98,Global Peace,2.083,High,Latin America & Caribbean,
Cuba,CUB,2022,117,Fragile States,60.1,High,Latin America & Caribbean,
Peru,PER,2021,84,Human Development,0.762,High,Latin America & Caribbean,
Peru,PER,2023,35,Passport Access,136.0,High,Latin America & Caribbean,
Peru,PER,2022,101,Global Peace,2.091,High,Latin America & Caribbean,
Peru,PER,2022,87,Fragile States,69.8,High,Latin America & Caribbean,
Armenia,ARM,2021,85,Human Development,0.759,High,Europe & Central Asia,
Armenia,ARM,2023,77,Passport Access,65.0,High,Europe & Central Asia,
Armenia,ARM,2022,83,Global Peace,1.992,High,Europe & Central Asia,
Armenia,ARM,2022,97,Fragile States,67.0,High,Europe & Central Asia,
Mexico,MEX,2021,86,Human Development,0.758,High,Latin America & Caribbean,
Mexico,MEX,2023,22,Passport Access,160.0,High,Latin America & Caribbean,
Mexico,MEX,2022,137,Global Peace,2.612,High,Latin America & Caribbean,
Mexico,MEX,2022,84,Fragile States,70.3,High,Latin America & Caribbean,
Brazil,BRA,2021,87,Human Development,0.754,High,Latin America & Caribbean,
Brazil,BRA,2023,18,Passport Access,170.0,High,Latin America & Caribbean,
Brazil,BRA,2022,130,Global Peace,2.465,High,Latin America & Caribbean,
Brazil,BRA,2022,71,Fragile States,73.9,High,Latin America & Caribbean,
Colombia,COL,2021,88,Human Development,0.752,High,Latin America & Caribbean,
Colombia,COL,2023,36,Passport Access,133.0,High,Latin America & Caribbean,
Colombia,COL,2022,144,Global Peace,2.729,High,Latin America & Caribbean,
Colombia,COL,2022,60,Fragile States,78.4,High,Latin America & Caribbean,
Saint Vincent and the Grenadines,VCT,2021,89,Human Development,0.751,High,Latin America & Caribbean,
St. Vincent and the Grenadines,VCT,2023,27,Passport Access,151.0,High,Latin America & Caribbean,
Maldives,MDV,2021,90,Human Development,0.747,High,South Asia,
Maldives,MDV,2023,58,Passport Access,90.0,High,South Asia,
Maldives,MDV,2022,105,Fragile States,64.5,High,South Asia,
Algeria,DZA,2021,91,Human Development,0.745,High,Middle East & North Africa,
Algeria,DZA,2023,89,Passport Access,52.0,High,Middle East & North Africa,
Algeria,DZA,2022,109,Global Peace,2.146,High,Middle East & North Africa,
Algeria,DZA,2022,77,Fragile States,72.2,High,Middle East & North Africa,
Azerbaijan,AZE,2021,91,Human Development,0.745,High,Europe & Central Asia,
Azerbaijan,AZE,2023,73,Passport Access,69.0,High,Europe & Central Asia,
Azerbaijan,AZE,2022,128,Global Peace,2.437,High,Europe & Central Asia,
Azerbaijan,AZE,2022,73,Fragile States,73.1,High,Europe & Central Asia,
Tonga,TON,2021,91,Human Development,0.745,High,East Asia & Pacific,
Tonga,TON,2023,39,Passport Access,129.0,High,East Asia & Pacific,
Turkmenistan,TKM,2021,91,Human Development,0.745,High,Europe & Central Asia,
Turkmenistan,TKM,2023,89,Passport Access,52.0,High,Europe & Central Asia,
Turkmenistan,TKM,2022,104,Global Peace,2.116,High,Europe & Central Asia,
Turkmenistan,TKM,2022,102,Fragile States,66.5,High,Europe & Central Asia,
Ecuador,ECU,2021,95,Human Development,0.74,High,Latin America & Caribbean,
Ecuador,ECU,2023,57,Passport Access,92.0,High,Latin America & Caribbean,
Ecuador,ECU,2022,79,Global Peace,1.988,High,Latin America & Caribbean,
Ecuador,ECU,2022,89,Fragile States,69.1,High,Latin America & Caribbean,
Mongolia,MNG,2021,96,Human Development,0.739,High,East Asia & Pacific,
Mongolia,MNG,2023,80,Passport Access,61.0,High,East Asia & Pacific,
